,work,composer,librettist,theatre,date
5128,Broken Strings,,,"Theatre Royal, Glasgow",1998-02-18
5129,Broken Strings,,,"Theatre Royal, Glasgow",1998-02-21
5130,Samson,George Frideric Handel,Newburgh Hamilton,"Theatre Royal, Glasgow",1998-02-20
5131,Essential Scottish Opera,,,"St Mary's Church, Haddington",1998-02-22
5132,Snatched by the Gods,,,"Festival Theatre, Edinburgh",1998-02-25
5133,Broken Strings,,,"Festival Theatre, Edinburgh",1998-02-25
5134,Essential Scottish Opera,,,Ryan Centre,1998-02-25
5135,Essential Scottish Opera,,,"Village Hall, Broadford",1998-03-03
5136,Essential Scottish Opera,,,"Town Hall, Forres",1998-03-05
5137,Essential Scottish Opera,,,Deeside Theatre,1998-03-07
5138,Essential Scottish Opera,,,Gardyne Theatre,1998-03-10
5139,Essential Scottish Opera,,,"Carnegie Hall, Clashmore",1998-03-12
5140,Essential Scottish Opera,,,"Stewarts Hall, Huntly",1998-03-14
5141,Essential Scottish Opera,,,"St John's Episcopal Cathedral, Oban",1998-03-17
5142,Essential Scottish Opera,,,"New Town Hall, Cumbernauld",1998-03-19
5143,Essential Scottish Opera,,,Adam Smith Theatre,1998-03-21
5144,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Festival Theatre, Edinburgh",1998-02-26
5145,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Festival Theatre, Edinburgh",1998-02-28
5146,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Eden Court Theatre,1998-03-03
5147,Samson,George Frideric Handel,Newburgh Hamilton,"Festival Theatre, Edinburgh",1998-02-27
5148,Samson,George Frideric Handel,Newburgh Hamilton,Eden Court Theatre,1998-03-04
5149,Samson,George Frideric Handel,Newburgh Hamilton,"Music Hall, Aberdeen",1998-03-05
5150,Lucio Silla,Wolfgang Amadeus Mozart,Giovanni da Gamerra,"Festival Theatre, Edinburgh",1998-03-13
5151,Lucio Silla,Wolfgang Amadeus Mozart,Giovanni da Gamerra,"Festival Theatre, Edinburgh",1998-03-14
5152,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Theatre Royal, Glasgow",1998-03-18
5153,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Theatre Royal, Glasgow",1998-03-21
5154,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Theatre Royal, Glasgow",1998-03-24
5155,Essential Scottish Opera,,,Arts Guild Theatre,1998-03-25
5156,Essential Scottish Opera,,,Eastwood Park Theatre,1998-03-27
5157,Essential Scottish Opera,,,Magnum Theatre,1998-03-31
5158,Essential Scottish Opera,,,"Victoria Hall, Selkirk",1998-04-04
5159,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Theatre Royal, Glasgow",1998-03-26
5160,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Theatre Royal, Glasgow",1998-03-28
5161,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Festival Theatre, Edinburgh",1998-04-14
5162,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Festival Theatre, Edinburgh",1998-04-16
5163,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Festival Theatre, Edinburgh",1998-04-18
5164,Macbeth,Giuseppe Verdi,Francesco Maria  Piave,Haddo House Hall,1998-04-08
5165,Macbeth,Giuseppe Verdi,Francesco Maria  Piave,Haddo House Hall,1998-04-09
5166,Macbeth,Giuseppe Verdi,Francesco Maria  Piave,Haddo House Hall,1998-04-11
5167,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,New Athenaeum Theatre,1998-05-02
