,date,work,composer
10897,1930-04-09,Psohlavci,Karel Kovařovic
10898,1930-04-09,Srdce,Josef Bohuslav Foerster
10899,1930-04-10,The Bartered Bride,Bedřich Smetana
10900,1930-04-12,Psohlavci,Karel Kovařovic
10901,1930-04-13,Mignon,Ambroise Thomas
10902,1930-04-15,Eva,Josef Bohuslav Foerster
10903,1930-04-16,Tvrdé palice,Antonín Dvořák
10904,1930-04-16,V studni,Vilém Blodek
10905,1930-04-19,Jidáš Iškariotský,Rudolf Zamrzla
10906,1930-04-20,Rusalka,Antonín Dvořák
10907,1930-04-21,The Bartered Bride,Bedřich Smetana
10908,1930-04-21,Jidáš Iškariotský,Rudolf Zamrzla
10909,1930-04-22,Carmen,Georges Bizet
10910,1930-04-23,The Bartered Bride,Bedřich Smetana
10911,1930-04-25,Don Giovanni,Wolfgang Amadeus Mozart
10912,1930-04-26,The Jacobin,Antonín Dvořák
10913,1930-04-26,Jidáš Iškariotský,Rudolf Zamrzla
10914,1930-04-27,Otello,Giuseppe Verdi
10915,1930-04-28,Jidáš Iškariotský,Rudolf Zamrzla
10916,1930-04-29,Boris Godunov,Modest Petrovič Musorgskij
10917,1930-04-30,The Devil and Kate,Antonín Dvořák
10918,1930-04-30,Dalibor,Bedřich Smetana
10919,1930-05-02,Armida,Antonín Dvořák
10920,1930-05-03,Rusalka,Antonín Dvořák
10921,1930-05-04,The Bartered Bride,Bedřich Smetana
10922,1930-05-07,The Devil’s Wall,Bedřich Smetana
10923,1930-05-07,Halka,Stanislaw Moniuszko
10924,1930-05-08,Jidáš Iškariotský,Rudolf Zamrzla
10925,1930-05-09,Don Giovanni,Wolfgang Amadeus Mozart
10926,1930-05-10,The Kiss,Bedřich Smetana
10927,1930-05-11,Libuše,Bedřich Smetana
10928,1930-05-12,Bludný Holanďan,Richard Wagner
10929,1930-05-13,Šárka,Zdeněk Fibich
10930,1930-05-14,The Bartered Bride,Bedřich Smetana
10931,1930-05-15,Rusalka,Antonín Dvořák
10932,1930-05-17,The Bartered Bride,Bedřich Smetana
10933,1930-05-17,Orfeus a Eurydika,Christoph Willibald Gluck
10934,1930-05-18,Rigoletto,Giuseppe Verdi
10935,1930-05-18,Jenůfa,Leoš Janáček
10936,1930-05-21,Rusalka,Antonín Dvořák
10937,1930-05-21,Orfeus a Eurydika,Christoph Willibald Gluck
10938,1930-05-23,Jidáš Iškariotský,Rudolf Zamrzla
10939,1930-05-24,The Devil and Kate,Antonín Dvořák
10940,1930-05-25,Psohlavci,Karel Kovařovic
10941,1930-05-26,Boris Godunov,Modest Petrovič Musorgskij
10942,1930-05-27,Orfeus a Eurydika,Christoph Willibald Gluck
10943,1930-05-28,The Bartered Bride,Bedřich Smetana
10944,1930-05-29,Orfeus a Eurydika,Christoph Willibald Gluck
10945,1930-05-31,The Bartered Bride,Bedřich Smetana
10946,1930-05-31,The Marriage of Figaro,Wolfgang Amadeus Mozart
10947,1930-06-01,Dalibor,Bedřich Smetana
10948,1930-06-03,Jidáš Iškariotský,Rudolf Zamrzla
10949,1930-06-04,Psohlavci,Karel Kovařovic
10950,1930-06-05,Pikovaya Dama,Pyotr Ilyich Tchaikovsky
10951,1930-06-07,Rusalka,Antonín Dvořák
10952,1930-06-08,The Bartered Bride,Bedřich Smetana
10953,1930-06-09,The Two Widows,Bedřich Smetana
10954,1930-06-11,The Bartered Bride,Bedřich Smetana
10955,1930-06-11,Jidáš Iškariotský,Rudolf Zamrzla
10956,1930-06-14,Dalibor,Bedřich Smetana
10957,1930-06-14,Otello,Giuseppe Verdi
10958,1930-06-15,La Traviata,Giuseppe Verdi
10959,1930-06-15,Faust a Markétka,Charles Gounod
10960,1930-06-17,Faust a Markétka,Charles Gounod
10961,1930-06-18,Šárka,Zdeněk Fibich
10962,1930-06-19,The Devil and Kate,Antonín Dvořák
10963,1930-06-19,Faust a Markétka,Charles Gounod
10964,1930-06-20,Rusalka,Antonín Dvořák
10965,1930-06-21,The Bartered Bride,Bedřich Smetana
10966,1930-06-21,Oberon,Carl Maria von Weber
10967,1930-06-22,The Kiss,Bedřich Smetana
10968,1930-06-23,Orfeus a Eurydika,Christoph Willibald Gluck
10969,1930-06-25,Rusalka,Antonín Dvořák
10970,1930-06-25,Eva,Josef Bohuslav Foerster
10971,1930-06-27,Eugen Onegin,Pyotr Ilyich Tchaikovsky
10972,1930-06-29,Eugen Onegin,Pyotr Ilyich Tchaikovsky
10973,1930-06-30,The Bartered Bride,Bedřich Smetana
10974,1930-07-02,The Kiss,Bedřich Smetana
10975,1930-07-04,Eugen Onegin,Pyotr Ilyich Tchaikovsky
10976,1929-08-30,The Devil and Kate,Antonín Dvořák
10977,1929-09-03,Les contes dHoffmann,Jacques Offenbach
10978,1929-09-05,Veselé ženy windsorské,Otto Nicolai
10979,1929-09-10,Rusalka,Antonín Dvořák
10980,1929-09-12,Aida,Giuseppe Verdi
10981,1929-09-17,Faust a Markétka,Charles Gounod
10982,1929-09-19,Veselé ženy windsorské,Otto Nicolai
10983,1929-09-21,Norma,Vincenzo Bellini
10984,1929-09-23,The Magic Flute,Wolfgang Amadeus Mozart
10985,1929-09-25,The Kiss,Bedřich Smetana
10986,1929-09-26,Jenůfa,Leoš Janáček
10987,1929-09-27,The Kiss,Bedřich Smetana
10988,1929-09-28,Rusalka,Antonín Dvořák
10989,1929-09-29,The Bartered Bride,Bedřich Smetana
10990,1929-10-01,Il barbiere di Siviglia,Gioacchino Rossini
10991,1929-10-02,Madama Butterfly,Giacomo Puccini
10992,1929-10-03,Maškarní ples,Giuseppe Verdi
10993,1929-10-07,Madama Butterfly,Giacomo Puccini
10994,1929-10-11,The Marriage of Figaro,Wolfgang Amadeus Mozart
10995,1929-10-12,Tosca,Giacomo Puccini
10996,1929-10-15,La Bohéme,Giacomo Puccini
10997,1929-10-17,Mignon,Ambroise Thomas
10998,1929-10-22,Rusalka,Antonín Dvořák
10999,1929-10-23,The Kiss,Bedřich Smetana
11000,1929-10-27,Rusalka,Antonín Dvořák
11001,1929-10-30,Veselé ženy windsorské,Otto Nicolai
11002,1929-11-02,The Secret,Bedřich Smetana
11003,1929-11-03,Carmen,Georges Bizet
11004,1929-11-03,Faust a Markétka,Charles Gounod
11005,1929-11-05,Eugen Onegin,Pyotr Ilyich Tchaikovsky
11006,1929-11-08,La Bohéme,Giacomo Puccini
11007,1929-11-11,Manon,Jules Massenet
11008,1929-11-13,The Bartered Bride,Bedřich Smetana
11009,1929-11-16,V studni,Vilém Blodek
11010,1929-11-19,Norma,Vincenzo Bellini
11011,1929-11-22,Tosca,Giacomo Puccini
11012,1929-11-26,The Magic Flute,Wolfgang Amadeus Mozart
11013,1929-11-28,La Bohéme,Giacomo Puccini
11014,1929-11-30,Il barbiere di Siviglia,Gioacchino Rossini
11015,1929-12-01,Les contes dHoffmann,Jacques Offenbach
11016,1929-12-04,Cavalleria rusticana,Pietro Mascagni
11017,1929-12-04,I Pagliacci,Ruggiero Leoncavallo
11018,1929-12-07,The Two Widows,Bedřich Smetana
11019,1929-12-08,The Bartered Bride,Bedřich Smetana
11020,1929-12-10,La Traviata,Giuseppe Verdi
11021,1929-12-12,Eugen Onegin,Pyotr Ilyich Tchaikovsky
11022,1929-12-16,The Marriage of Figaro,Wolfgang Amadeus Mozart
11023,1929-12-17,The Secret,Bedřich Smetana
11024,1929-12-20,Manon,Jules Massenet
