,date,work,composer
33306,1986-11-09,The Secret,Bedřich Smetana
33307,1986-11-11,Zuzana Vojířová,Jiří Pauer
33308,1986-11-13,The Kiss,Bedřich Smetana
33309,1986-11-16,The Secret,Bedřich Smetana
33310,1986-11-16,Katya Kabanova,Leoš Janáček
33311,1986-11-21,Rusalka,Antonín Dvořák
33312,1986-11-22,Psohlavci,Karel Kovařovic
33313,1986-11-22,The Bartered Bride,Bedřich Smetana
33314,1986-11-25,Katya Kabanova,Leoš Janáček
33315,1986-11-26,Rusalka,Antonín Dvořák
33316,1986-11-30,The Secret,Bedřich Smetana
33317,1986-11-30,Pelléas a Mélisanda,Claude Debussy
33318,1986-12-03,Pelléas a Mélisanda,Claude Debussy
33319,1986-12-04,Dalibor,Bedřich Smetana
33320,1986-12-06,Zbojnická balada,Václav Kašlík
33321,1986-12-12,The Magic Flute,Wolfgang Amadeus Mozart
33322,1986-12-14,Katya Kabanova,Leoš Janáček
33323,1986-12-15,The Magic Flute,Wolfgang Amadeus Mozart
33324,1986-12-19,Nevěsta messinská,Zdeněk Fibich
33325,1986-12-21,The Devil’s Wall,Bedřich Smetana
33326,1986-12-22,The Bartered Bride,Bedřich Smetana
33327,1986-12-25,The Secret,Bedřich Smetana
33328,1986-12-27,Karlštejn,Vítězslav Novák
33329,1986-12-29,The Magic Flute,Wolfgang Amadeus Mozart
33330,1986-12-30,Jenůfa,Leoš Janáček
33331,1986-12-31,Rusalka,Antonín Dvořák
33332,1987-01-02,The Secret,Bedřich Smetana
33333,1987-01-02,Pelléas a Mélisanda,Claude Debussy
33334,1987-01-03,Dalibor,Bedřich Smetana
33335,1987-01-09,The Bartered Bride,Bedřich Smetana
33336,1987-01-10,The Cunning Little Vixen,Leoš Janáček
33337,1987-01-10,The Secret,Bedřich Smetana
33338,1987-01-12,The Magic Flute,Wolfgang Amadeus Mozart
33339,1987-01-16,Rusalka,Antonín Dvořák
33340,1987-01-18,Katya Kabanova,Leoš Janáček
33341,1987-01-18,Zbojnická balada,Václav Kašlík
33342,1987-01-19,Dalibor,Bedřich Smetana
33343,1987-01-22,The Magic Flute,Wolfgang Amadeus Mozart
33344,1987-01-23,Libuše,Bedřich Smetana
33345,1987-01-24,The Secret,Bedřich Smetana
33346,1987-01-24,Psohlavci,Karel Kovařovic
33347,1987-01-27,Jenůfa,Leoš Janáček
33348,1987-01-28,Katya Kabanova,Leoš Janáček
33349,1987-01-29,The Bartered Bride,Bedřich Smetana
33350,1987-01-30,Zuzana Vojířová,Jiří Pauer
33351,1987-02-01,The Cunning Little Vixen,Leoš Janáček
33352,1987-02-01,Zbojnická balada,Václav Kašlík
33353,1987-02-03,The Magic Flute,Wolfgang Amadeus Mozart
33354,1987-02-08,The Secret,Bedřich Smetana
33355,1987-02-08,Pelléas a Mélisanda,Claude Debussy
33356,1987-02-10,Rusalka,Antonín Dvořák
33357,1987-02-12,Katya Kabanova,Leoš Janáček
33358,1987-02-14,The Kiss,Bedřich Smetana
33359,1987-02-17,The Secret,Bedřich Smetana
33360,1987-02-18,Braniboři v Čechách,Bedřich Smetana
33361,1987-02-20,Dalibor,Bedřich Smetana
33362,1987-02-21,Zuzana Vojířová,Jiří Pauer
33363,1987-02-24,The Devil’s Wall,Bedřich Smetana
33364,1987-02-27,The Magic Flute,Wolfgang Amadeus Mozart
33365,1987-02-28,The Bartered Bride,Bedřich Smetana
33366,1987-03-07,The Secret,Bedřich Smetana
33367,1987-03-07,Psohlavci,Karel Kovařovic
33368,1987-03-13,Dalibor,Bedřich Smetana
33369,1987-03-14,Zbojnická balada,Václav Kašlík
33370,1987-03-14,Jenůfa,Leoš Janáček
33371,1987-03-15,Pelléas a Mélisanda,Claude Debussy
33372,1987-03-16,The Devil’s Wall,Bedřich Smetana
33373,1987-03-18,Braniboři v Čechách,Bedřich Smetana
33374,1987-03-19,Rusalka,Antonín Dvořák
33375,1987-03-21,The Magic Flute,Wolfgang Amadeus Mozart
33376,1987-03-21,The Magic Flute,Wolfgang Amadeus Mozart
33377,1987-03-23,The Secret,Bedřich Smetana
33378,1987-03-24,Katya Kabanova,Leoš Janáček
33379,1987-03-28,The Bartered Bride,Bedřich Smetana
33380,1987-04-02,Armida,Antonín Dvořák
33381,1987-04-03,The Magic Flute,Wolfgang Amadeus Mozart
33382,1987-04-05,Psohlavci,Karel Kovařovic
33383,1987-04-05,The Cunning Little Vixen,Leoš Janáček
33384,1987-04-06,Armida,Antonín Dvořák
33385,1987-04-07,The Bartered Bride,Bedřich Smetana
33386,1987-04-09,Zuzana Vojířová,Jiří Pauer
33387,1987-04-10,The Bartered Bride,Bedřich Smetana
33388,1987-04-11,Jenůfa,Leoš Janáček
33389,1987-04-15,Rusalka,Antonín Dvořák
33390,1987-04-19,The Secret,Bedřich Smetana
33391,1987-04-19,The Bartered Bride,Bedřich Smetana
33392,1987-04-20,The Secret,Bedřich Smetana
33393,1987-04-20,Pelléas a Mélisanda,Claude Debussy
33394,1987-04-21,Armida,Antonín Dvořák
33395,1987-04-23,The Magic Flute,Wolfgang Amadeus Mozart
33396,1987-04-25,Katya Kabanova,Leoš Janáček
33397,1987-05-03,The Secret,Bedřich Smetana
33398,1987-05-03,Braniboři v Čechách,Bedřich Smetana
33399,1987-05-09,Libuše,Bedřich Smetana
33400,1987-05-12,Armida,Antonín Dvořák
33401,1987-05-14,Dalibor,Bedřich Smetana
33402,1987-05-18,Pelléas a Mélisanda,Claude Debussy
33403,1987-05-19,Zbojnická balada,Václav Kašlík
33404,1987-05-22,Armida,Antonín Dvořák
33405,1987-05-23,The Kiss,Bedřich Smetana
33406,1987-05-23,Zuzana Vojířová,Jiří Pauer
33407,1987-05-25,The Magic Flute,Wolfgang Amadeus Mozart
33408,1987-05-28,Rusalka,Antonín Dvořák
33409,1987-05-31,Katya Kabanova,Leoš Janáček
33410,1987-05-31,The Bartered Bride,Bedřich Smetana
33411,1987-06-01,The Devil’s Wall,Bedřich Smetana
33412,1987-06-02,The Secret,Bedřich Smetana
33413,1987-06-04,Zuzana Vojířová,Jiří Pauer
33414,1987-06-05,The Cunning Little Vixen,Leoš Janáček
33415,1987-06-09,Psohlavci,Karel Kovařovic
33416,1987-06-10,Armida,Antonín Dvořák
33417,1987-06-11,Katya Kabanova,Leoš Janáček
33418,1987-06-14,Braniboři v Čechách,Bedřich Smetana
33419,1987-06-15,Rusalka,Antonín Dvořák
33420,1987-06-20,The Secret,Bedřich Smetana
33421,1987-06-20,The Secret,Bedřich Smetana
33422,1987-06-23,Armida,Antonín Dvořák
33423,1987-06-28,The Secret,Bedřich Smetana
33424,1987-06-28,The Bartered Bride,Bedřich Smetana
33425,1987-06-29,The Magic Flute,Wolfgang Amadeus Mozart
33426,1987-07-01,Rusalka,Antonín Dvořák
33427,1987-07-03,The Bartered Bride,Bedřich Smetana
33428,1987-07-04,The Secret,Bedřich Smetana
33429,1987-07-04,Jenůfa,Leoš Janáček
33430,1987-07-07,Dalibor,Bedřich Smetana
33431,1986-09-07,Žvanivý slimejš,Jiří Pauer
33432,1986-09-23,Žvanivý slimejš,Jiří Pauer
33433,1986-09-27,Žvanivý slimejš,Jiří Pauer
33434,1986-09-27,Žvanivý slimejš,Jiří Pauer
33435,1986-10-11,Žvanivý slimejš,Jiří Pauer
33436,1986-10-11,Žvanivý slimejš,Jiří Pauer
33437,1986-10-25,Žvanivý slimejš,Jiří Pauer
33438,1986-10-25,Žvanivý slimejš,Jiří Pauer
33439,1986-11-01,Žvanivý slimejš,Jiří Pauer
33440,1986-11-01,Žvanivý slimejš,Jiří Pauer
33441,1986-11-22,Žvanivý slimejš,Jiří Pauer
33442,1986-11-22,Žvanivý slimejš,Jiří Pauer
33443,1986-12-02,Žvanivý slimejš,Jiří Pauer
33444,1986-12-21,Žvanivý slimejš,Jiří Pauer
33445,1986-12-21,Žvanivý slimejš,Jiří Pauer
33446,1986-12-25,Žvanivý slimejš,Jiří Pauer
33447,1986-12-25,Žvanivý slimejš,Jiří Pauer
33448,1987-01-10,Žvanivý slimejš,Jiří Pauer
33449,1987-01-10,Žvanivý slimejš,Jiří Pauer
33450,1987-01-18,Žvanivý slimejš,Jiří Pauer
33451,1987-01-18,Žvanivý slimejš,Jiří Pauer
33452,1987-01-24,Žvanivý slimejš,Jiří Pauer
33453,1987-01-24,Žvanivý slimejš,Jiří Pauer
33454,1987-02-08,Žvanivý slimejš,Jiří Pauer
33455,1987-02-08,Žvanivý slimejš,Jiří Pauer
33456,1987-02-20,Žvanivý slimejš,Jiří Pauer
33457,1987-02-21,Žvanivý slimejš,Jiří Pauer
33458,1987-02-21,Žvanivý slimejš,Jiří Pauer
33459,1987-03-15,Žvanivý slimejš,Jiří Pauer
33460,1987-03-15,Žvanivý slimejš,Jiří Pauer
33461,1987-03-29,Žvanivý slimejš,Jiří Pauer
33462,1987-03-29,Žvanivý slimejš,Jiří Pauer
33463,1987-04-05,Žvanivý slimejš,Jiří Pauer
33464,1987-04-05,Žvanivý slimejš,Jiří Pauer
33465,1987-04-19,Žvanivý slimejš,Jiří Pauer
33466,1987-04-19,Žvanivý slimejš,Jiří Pauer
33467,1987-05-03,Žvanivý slimejš,Jiří Pauer
33468,1987-05-03,Žvanivý slimejš,Jiří Pauer
33469,1987-05-17,Žvanivý slimejš,Jiří Pauer
33470,1987-05-17,Žvanivý slimejš,Jiří Pauer
33471,1987-06-14,Žvanivý slimejš,Jiří Pauer
33472,1987-06-14,Žvanivý slimejš,Jiří Pauer
33473,1987-06-15,Žvanivý slimejš,Jiří Pauer
33474,1986-09-01,The Kiss,Bedřich Smetana
33475,1986-09-03,The Greek Passion,Bohuslav Martinů
33476,1986-09-08,Madama Butterfly,Giacomo Puccini
33477,1986-09-10,The Jacobin,Antonín Dvořák
33478,1986-09-11,The Two Widows,Bedřich Smetana
33479,1986-09-12,Falstaff,Giuseppe Verdi
33480,1986-09-14,La Bohéme,Giacomo Puccini
33481,1986-09-16,Faust a Markétka,Charles Gounod
33482,1986-09-18,Bludný Holanďan,Richard Wagner
33483,1986-09-19,Trubadúr,Giuseppe Verdi
33484,1986-09-21,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33485,1986-09-22,Carmen,Georges Bizet
33486,1986-09-23,The Devil and Kate,Antonín Dvořák
33487,1986-09-24,La traviata,Giuseppe Verdi
33488,1986-09-26,Don Giovanni,Wolfgang Amadeus Mozart
33489,1986-09-28,Don Pasquale,Gaetano Donizetti
33490,1986-09-30,Tosca,Giacomo Puccini
33491,1986-10-01,Carmen,Georges Bizet
33492,1986-10-03,Falstaff,Giuseppe Verdi
33493,1986-10-05,The Two Widows,Bedřich Smetana
33494,1986-10-05,La traviata,Giuseppe Verdi
33495,1986-10-06,Trubadúr,Giuseppe Verdi
33496,1986-10-08,Bludný Holanďan,Richard Wagner
33497,1986-10-09,The Greek Passion,Bohuslav Martinů
33498,1986-10-10,Don Giovanni,Wolfgang Amadeus Mozart
33499,1986-10-15,La Bohéme,Giacomo Puccini
33500,1986-10-17,Zásnuby v klášteře,Sergey Prokofiev
33501,1986-10-19,Il barbiere di Siviglia,Gioacchino Rossini
33502,1986-10-20,Zásnuby v klášteře,Sergey Prokofiev
33503,1986-10-21,Bludný Holanďan,Richard Wagner
33504,1986-10-22,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33505,1986-10-23,The Kiss,Bedřich Smetana
33506,1986-10-24,Zásnuby v klášteře,Sergey Prokofiev
33507,1986-10-26,The Kiss,Bedřich Smetana
33508,1986-10-27,The Jacobin,Antonín Dvořák
33509,1986-10-30,Madama Butterfly,Giacomo Puccini
33510,1986-11-02,The Devil and Kate,Antonín Dvořák
33511,1986-11-02,La traviata,Giuseppe Verdi
33512,1986-11-03,Carmen,Georges Bizet
33513,1986-11-05,Madama Butterfly,Giacomo Puccini
33514,1986-11-06,Zásnuby v klášteře,Sergey Prokofiev
33515,1986-11-07,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33516,1986-11-09,Zásnuby v klášteře,Sergey Prokofiev
33517,1986-11-09,Don Pasquale,Gaetano Donizetti
33518,1986-11-14,Faust a Markétka,Charles Gounod
33519,1986-11-16,Il barbiere di Siviglia,Gioacchino Rossini
33520,1986-11-16,Falstaff,Giuseppe Verdi
33521,1986-11-17,Bludný Holanďan,Richard Wagner
33522,1986-11-19,The Jacobin,Antonín Dvořák
33523,1986-11-23,The Two Widows,Bedřich Smetana
33524,1986-11-24,The Jacobin,Antonín Dvořák
33525,1986-11-26,Tosca,Giacomo Puccini
33526,1986-11-28,Don Giovanni,Wolfgang Amadeus Mozart
33527,1986-11-30,Trubadúr,Giuseppe Verdi
33528,1986-12-01,The Greek Passion,Bohuslav Martinů
33529,1986-12-04,The Devil and Kate,Antonín Dvořák
33530,1986-12-05,Madama Butterfly,Giacomo Puccini
33531,1986-12-07,Zásnuby v klášteře,Sergey Prokofiev
33532,1986-12-07,La traviata,Giuseppe Verdi
33533,1986-12-08,Tosca,Giacomo Puccini
33534,1986-12-10,Madama Butterfly,Giacomo Puccini
33535,1986-12-14,The Kiss,Bedřich Smetana
33536,1986-12-14,La Bohéme,Giacomo Puccini
33537,1986-12-15,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33538,1986-12-16,Trubadúr,Giuseppe Verdi
33539,1986-12-17,Don Giovanni,Wolfgang Amadeus Mozart
33540,1986-12-18,Bludný Holanďan,Richard Wagner
33541,1986-12-20,Don Pasquale,Gaetano Donizetti
33542,1986-12-25,Il barbiere di Siviglia,Gioacchino Rossini
33543,1986-12-25,Zásnuby v klášteře,Sergey Prokofiev
33544,1986-12-26,The Jacobin,Antonín Dvořák
33545,1986-12-26,The Jacobin,Antonín Dvořák
33546,1986-12-30,Carmen,Georges Bizet
33547,1987-01-01,The Kiss,Bedřich Smetana
33548,1987-01-01,The Two Widows,Bedřich Smetana
33549,1987-01-03,The Greek Passion,Bohuslav Martinů
33550,1987-01-04,Falstaff,Giuseppe Verdi
33551,1987-01-05,Zásnuby v klášteře,Sergey Prokofiev
33552,1987-01-06,Don Giovanni,Wolfgang Amadeus Mozart
33553,1987-01-06,Don Giovanni,Wolfgang Amadeus Mozart
33554,1987-01-08,Bludný Holanďan,Richard Wagner
33555,1987-01-10,The Kiss,Bedřich Smetana
33556,1987-01-10,Tosca,Giacomo Puccini
33557,1987-01-11,Madama Butterfly,Giacomo Puccini
33558,1987-01-12,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33559,1987-01-13,Zásnuby v klášteře,Sergey Prokofiev
33560,1987-01-14,The Jacobin,Antonín Dvořák
33561,1987-01-18,La traviata,Giuseppe Verdi
33562,1987-01-19,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33563,1987-01-21,Falstaff,Giuseppe Verdi
33564,1987-01-22,Zásnuby v klášteře,Sergey Prokofiev
33565,1987-01-23,Tosca,Giacomo Puccini
33566,1987-01-25,Il barbiere di Siviglia,Gioacchino Rossini
33567,1987-01-25,Madama Butterfly,Giacomo Puccini
33568,1987-01-26,The Devil and Kate,Antonín Dvořák
33569,1987-01-28,La Bohéme,Giacomo Puccini
33570,1987-01-29,Il barbiere di Siviglia,Gioacchino Rossini
33571,1987-02-01,The Kiss,Bedřich Smetana
33572,1987-02-01,Madama Butterfly,Giacomo Puccini
33573,1987-02-03,Zásnuby v klášteře,Sergey Prokofiev
33574,1987-02-04,Don Giovanni,Wolfgang Amadeus Mozart
33575,1987-02-05,Trubadúr,Giuseppe Verdi
33576,1987-02-06,Trubadúr,Giuseppe Verdi
33577,1987-02-07,The Jacobin,Antonín Dvořák
33578,1987-02-07,The Jacobin,Antonín Dvořák
33579,1987-02-10,La traviata,Giuseppe Verdi
33580,1987-02-11,Falstaff,Giuseppe Verdi
33581,1987-02-16,Zásnuby v klášteře,Sergey Prokofiev
33582,1987-02-18,Tosca,Giacomo Puccini
33583,1987-02-22,The Two Widows,Bedřich Smetana
33584,1987-02-23,Trubadúr,Giuseppe Verdi
33585,1987-02-25,The Jacobin,Antonín Dvořák
33586,1987-02-27,The Greek Passion,Bohuslav Martinů
33587,1987-03-01,The Kiss,Bedřich Smetana
33588,1987-03-01,Trubadúr,Giuseppe Verdi
33589,1987-03-02,Bludný Holanďan,Richard Wagner
33590,1987-03-04,Zásnuby v klášteře,Sergey Prokofiev
33591,1987-03-05,The Jacobin,Antonín Dvořák
33592,1987-03-06,Don Giovanni,Wolfgang Amadeus Mozart
33593,1987-03-08,Il barbiere di Siviglia,Gioacchino Rossini
33594,1987-03-08,Madama Butterfly,Giacomo Puccini
33595,1987-03-11,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33596,1987-03-12,The Two Widows,Bedřich Smetana
33597,1987-03-13,Falstaff,Giuseppe Verdi
33598,1987-03-14,La Bohéme,Giacomo Puccini
33599,1987-03-16,Trubadúr,Giuseppe Verdi
33600,1987-03-19,La traviata,Giuseppe Verdi
33601,1987-03-22,The Greek Passion,Bohuslav Martinů
33602,1987-03-23,Faust a Markétka,Charles Gounod
33603,1987-03-25,Il barbiere di Siviglia,Gioacchino Rossini
33604,1987-03-25,The Devil and Kate,Antonín Dvořák
33605,1987-03-26,Don Giovanni,Wolfgang Amadeus Mozart
33606,1987-03-27,Bludný Holanďan,Richard Wagner
33607,1987-03-29,The Kiss,Bedřich Smetana
33608,1987-03-29,Tosca,Giacomo Puccini
33609,1987-03-30,Trubadúr,Giuseppe Verdi
33610,1987-04-01,The Greek Passion,Bohuslav Martinů
33611,1987-04-05,Tosca,Giacomo Puccini
33612,1987-04-06,Madama Butterfly,Giacomo Puccini
33613,1987-04-07,The Kiss,Bedřich Smetana
33614,1987-04-08,The Jacobin,Antonín Dvořák
33615,1987-04-10,La Bohéme,Giacomo Puccini
33616,1987-04-12,The Kiss,Bedřich Smetana
33617,1987-04-12,The Two Widows,Bedřich Smetana
33618,1987-04-15,Ifigenie na Tauridě,Christoph Willibald Gluck
33619,1987-04-17,Bludný Holanďan,Richard Wagner
33620,1987-04-18,Ifigenie na Tauridě,Christoph Willibald Gluck
33621,1987-04-20,La Bohéme,Giacomo Puccini
33622,1987-04-21,The Kiss,Bedřich Smetana
33623,1987-04-22,The Kiss,Bedřich Smetana
33624,1987-04-23,Trubadúr,Giuseppe Verdi
33625,1987-04-26,Il barbiere di Siviglia,Gioacchino Rossini
33626,1987-04-26,Zásnuby v klášteře,Sergey Prokofiev
33627,1987-04-27,Don Giovanni,Wolfgang Amadeus Mozart
33628,1987-04-28,Bludný Holanďan,Richard Wagner
33629,1987-04-29,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33630,1987-04-30,The Jacobin,Antonín Dvořák
33631,1987-05-04,The Two Widows,Bedřich Smetana
33632,1987-05-05,Bludný Holanďan,Richard Wagner
33633,1987-05-06,The Devil and Kate,Antonín Dvořák
33634,1987-05-07,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33635,1987-05-08,Tosca,Giacomo Puccini
33636,1987-05-10,The Jacobin,Antonín Dvořák
33637,1987-05-10,Don Giovanni,Wolfgang Amadeus Mozart
33638,1987-05-11,Trubadúr,Giuseppe Verdi
33639,1987-05-15,Zásnuby v klášteře,Sergey Prokofiev
33640,1987-05-20,Don Giovanni,Wolfgang Amadeus Mozart
33641,1987-05-21,Zásnuby v klášteře,Sergey Prokofiev
33642,1987-05-26,The Greek Passion,Bohuslav Martinů
33643,1987-05-27,Trubadúr,Giuseppe Verdi
33644,1987-05-29,Falstaff,Giuseppe Verdi
33645,1987-05-30,Il barbiere di Siviglia,Gioacchino Rossini
33646,1987-05-31,Ifigenie na Tauridě,Christoph Willibald Gluck
33647,1987-06-03,The Greek Passion,Bohuslav Martinů
33648,1987-06-04,Don Giovanni,Wolfgang Amadeus Mozart
33649,1987-06-05,Madama Butterfly,Giacomo Puccini
33650,1987-06-07,The Devil and Kate,Antonín Dvořák
33651,1987-06-08,La traviata,Giuseppe Verdi
33652,1987-06-11,Trubadúr,Giuseppe Verdi
33653,1987-06-14,Faust a Markétka,Charles Gounod
33654,1987-06-16,The Two Widows,Bedřich Smetana
33655,1987-06-18,The Kiss,Bedřich Smetana
33656,1987-06-21,La Bohéme,Giacomo Puccini
33657,1987-06-23,Il barbiere di Siviglia,Gioacchino Rossini
33658,1987-06-25,Mlčenlivá žena,Richard Strauss
33659,1987-06-26,Zásnuby v klášteře,Sergey Prokofiev
33660,1987-06-28,Mlčenlivá žena,Richard Strauss
33661,1987-06-29,Falstaff,Giuseppe Verdi
33662,1987-07-01,Mlčenlivá žena,Richard Strauss
33663,1987-07-03,Madama Butterfly,Giacomo Puccini
33664,1987-07-05,Trubadúr,Giuseppe Verdi
33665,1987-07-06,Eugen Onegin,Pyotr Ilyich Tchaikovsky
33666,1987-07-07,Tosca,Giacomo Puccini
33667,1991-06-08,Zásnuby v klášteře,Sergey Prokofiev
33668,1987-09-07,Armida,Antonín Dvořák
33669,1987-09-09,The Bartered Bride,Bedřich Smetana
33670,1987-09-13,Zbojnická balada,Václav Kašlík
33671,1987-09-14,Dalibor,Bedřich Smetana
33672,1987-09-15,Rusalka,Antonín Dvořák
33673,1987-09-17,Braniboři v Čechách,Bedřich Smetana
33674,1987-09-19,Psohlavci,Karel Kovařovic
33675,1987-09-22,The Magic Flute,Wolfgang Amadeus Mozart
33676,1987-09-24,Armida,Antonín Dvořák
33677,1987-09-26,Katya Kabanova,Leoš Janáček
33678,1987-09-28,Zbojnická balada,Václav Kašlík
33679,1987-09-30,The Devil’s Wall,Bedřich Smetana
33680,1987-10-01,Rusalka,Antonín Dvořák
33681,1987-10-04,Jenůfa,Leoš Janáček
33682,1987-10-07,Zuzana Vojířová,Jiří Pauer
33683,1987-10-10,The Secret,Bedřich Smetana
33684,1987-10-10,Pelléas a Mélisanda,Claude Debussy
33685,1987-10-15,Ariane,Bohuslav Martinů
33686,1987-10-15,Oedipus Rex,Igor Stravinskij
33687,1987-10-17,The Bartered Bride,Bedřich Smetana
33688,1987-10-17,Psohlavci,Karel Kovařovic
33689,1987-10-18,Katya Kabanova,Leoš Janáček
33690,1987-10-20,Ariane,Bohuslav Martinů
33691,1987-10-20,Oedipus Rex,Igor Stravinskij
33692,1987-10-25,The Cunning Little Vixen,Leoš Janáček
33693,1987-10-25,The Bartered Bride,Bedřich Smetana
33694,1987-10-26,The Magic Flute,Wolfgang Amadeus Mozart
33695,1987-10-27,Armida,Antonín Dvořák
33696,1987-10-31,The Secret,Bedřich Smetana
33697,1987-10-31,The Magic Flute,Wolfgang Amadeus Mozart
33698,1987-11-03,Dalibor,Bedřich Smetana
33699,1987-11-06,Pelléas a Mélisanda,Claude Debussy
33700,1987-11-08,The Secret,Bedřich Smetana
33701,1987-11-08,Katya Kabanova,Leoš Janáček
33702,1987-11-09,Ariane,Bohuslav Martinů
33703,1987-11-09,Oedipus Rex,Igor Stravinskij
33704,1987-11-11,The Magic Flute,Wolfgang Amadeus Mozart
33705,1987-11-13,Armida,Antonín Dvořák
33706,1987-11-15,The Secret,Bedřich Smetana
33707,1987-11-15,Psohlavci,Karel Kovařovic
33708,1987-11-19,Ariane,Bohuslav Martinů
33709,1987-11-19,Oedipus Rex,Igor Stravinskij
33710,1987-11-21,The Secret,Bedřich Smetana
33711,1987-11-21,The Secret,Bedřich Smetana
33712,1987-11-27,The Bartered Bride,Bedřich Smetana
33713,1987-11-28,Rusalka,Antonín Dvořák
33714,1987-11-28,Rusalka,Antonín Dvořák
33715,1987-11-29,Pelléas a Mélisanda,Claude Debussy
33716,1987-12-01,Ariane,Bohuslav Martinů
33717,1987-12-01,Oedipus Rex,Igor Stravinskij
33718,1987-12-02,Dalibor,Bedřich Smetana
33719,1987-12-05,The Secret,Bedřich Smetana
33720,1987-12-07,Zuzana Vojířová,Jiří Pauer
33721,1987-12-09,Ariane,Bohuslav Martinů
33722,1987-12-09,Oedipus Rex,Igor Stravinskij
33723,1987-12-13,The Bartered Bride,Bedřich Smetana
33724,1987-12-13,Pelléas a Mélisanda,Claude Debussy
33725,1987-12-16,Rusalka,Antonín Dvořák
33726,1987-12-19,The Secret,Bedřich Smetana
33727,1987-12-26,The Secret,Bedřich Smetana
33728,1987-12-26,Jenůfa,Leoš Janáček
33729,1987-12-27,Rusalka,Antonín Dvořák
33730,1987-12-28,The Kiss,Bedřich Smetana
33731,1987-12-29,The Magic Flute,Wolfgang Amadeus Mozart
33732,1988-01-01,The Bartered Bride,Bedřich Smetana
33733,1988-01-01,Jenůfa,Leoš Janáček
33734,1988-01-03,Braniboři v Čechách,Bedřich Smetana
33735,1988-01-05,The Magic Flute,Wolfgang Amadeus Mozart
33736,1988-01-07,Ariane,Bohuslav Martinů
33737,1988-01-07,Oedipus Rex,Igor Stravinskij
33738,1988-01-09,Pelléas a Mélisanda,Claude Debussy
33739,1988-01-10,The Bartered Bride,Bedřich Smetana
33740,1988-01-10,The Cunning Little Vixen,Leoš Janáček
33741,1988-01-12,The Secret,Bedřich Smetana
33742,1988-01-17,The Secret,Bedřich Smetana
33743,1988-01-17,Katya Kabanova,Leoš Janáček
33744,1988-01-22,Armida,Antonín Dvořák
33745,1988-01-23,Rusalka,Antonín Dvořák
33746,1988-01-23,Rusalka,Antonín Dvořák
33747,1988-01-27,Dalibor,Bedřich Smetana
33748,1988-01-29,Ariane,Bohuslav Martinů
33749,1988-01-29,Oedipus Rex,Igor Stravinskij
33750,1988-01-31,Ariane,Bohuslav Martinů
33751,1988-01-31,Oedipus Rex,Igor Stravinskij
33752,1988-02-01,Rusalka,Antonín Dvořák
33753,1988-02-04,Katya Kabanova,Leoš Janáček
33754,1988-02-05,The Bartered Bride,Bedřich Smetana
33755,1988-02-06,The Cunning Little Vixen,Leoš Janáček
33756,1988-02-06,Psohlavci,Karel Kovařovic
33757,1988-02-08,Braniboři v Čechách,Bedřich Smetana
33758,1988-02-09,Jenůfa,Leoš Janáček
33759,1988-02-13,The Bartered Bride,Bedřich Smetana
33760,1988-02-13,The Magic Flute,Wolfgang Amadeus Mozart
33761,1988-02-15,The Magic Flute,Wolfgang Amadeus Mozart
33762,1988-02-19,Dalibor,Bedřich Smetana
33763,1988-02-21,The Kiss,Bedřich Smetana
33764,1988-02-21,Zuzana Vojířová,Jiří Pauer
33765,1988-02-24,Zuzana Vojířová,Jiří Pauer
33766,1988-02-25,Libuše,Bedřich Smetana
33767,1988-02-27,The Kiss,Bedřich Smetana
33768,1988-03-02,Rusalka,Antonín Dvořák
33769,1988-03-03,Dalibor,Bedřich Smetana
33770,1988-03-06,The Bartered Bride,Bedřich Smetana
33771,1988-03-09,Rusalka,Antonín Dvořák
33772,1988-03-10,Katya Kabanova,Leoš Janáček
33773,1988-03-11,The Kiss,Bedřich Smetana
33774,1988-03-12,The Bartered Bride,Bedřich Smetana
33775,1988-03-12,The Cunning Little Vixen,Leoš Janáček
33776,1988-03-13,Katya Kabanova,Leoš Janáček
33777,1988-03-16,Braniboři v Čechách,Bedřich Smetana
33778,1988-03-20,The Bartered Bride,Bedřich Smetana
33779,1988-03-20,Katya Kabanova,Leoš Janáček
33780,1988-03-23,The Magic Flute,Wolfgang Amadeus Mozart
33781,1988-03-24,Rusalka,Antonín Dvořák
33782,1988-03-26,Psohlavci,Karel Kovařovic
33783,1988-03-26,The Bartered Bride,Bedřich Smetana
33784,1988-03-29,Dalibor,Bedřich Smetana
33785,1988-04-01,Rusalka,Antonín Dvořák
33786,1988-04-03,The Bartered Bride,Bedřich Smetana
33787,1988-04-03,The Cunning Little Vixen,Leoš Janáček
33788,1988-04-09,The Kiss,Bedřich Smetana
33789,1988-04-14,Dalibor,Bedřich Smetana
33790,1988-04-15,The Magic Flute,Wolfgang Amadeus Mozart
33791,1988-04-17,The Secret,Bedřich Smetana
33792,1988-04-17,The Secret,Bedřich Smetana
