,work,date,composer,librettist,based_on,language
3725,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3726,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3727,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3728,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3729,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3730,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3731,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3732,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3733,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3734,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3735,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3736,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3737,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3738,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3739,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3740,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3741,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3742,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3743,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3744,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3745,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3746,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3747,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3748,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3749,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3750,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3751,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3752,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3753,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3754,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3755,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3756,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3757,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3758,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3759,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3760,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3761,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3762,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3763,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3764,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3765,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3766,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3767,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3768,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3769,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3770,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3771,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3772,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3773,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3774,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3775,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3776,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3777,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3778,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3779,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3780,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3781,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3782,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3783,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3784,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3785,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3786,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3787,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3788,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3789,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3790,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3791,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3792,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3793,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3794,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3795,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3796,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3797,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3798,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3799,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3800,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3801,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3802,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3803,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3804,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3805,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3806,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3807,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3808,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3809,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3810,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3811,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3812,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3813,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3814,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3815,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3816,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3817,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3818,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3819,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3820,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3821,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3822,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3823,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3824,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3825,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3826,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3827,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3828,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3829,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3830,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3831,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3832,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3833,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3834,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3835,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3836,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3837,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3838,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3839,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3840,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3841,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3842,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3843,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3844,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3845,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3846,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3847,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3848,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3849,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3850,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3851,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3852,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3853,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3854,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3855,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3856,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3857,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3858,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3859,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3860,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3861,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3862,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3863,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3864,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3865,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3866,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3867,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3868,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3869,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3870,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3871,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3872,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3873,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3874,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3875,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3876,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3877,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3878,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3879,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3880,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3881,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3882,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3883,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3884,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3885,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3886,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3887,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3888,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3889,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3890,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3891,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3892,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3893,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3894,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3895,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3896,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3897,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3898,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3899,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3900,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3901,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3902,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3903,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3904,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3905,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3906,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3907,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3908,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3909,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3910,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3911,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3912,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3913,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3914,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3915,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3916,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3917,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3918,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3919,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3920,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3921,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3922,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3923,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3924,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3925,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3926,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3927,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3928,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3929,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3930,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3931,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3932,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3933,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3934,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3935,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3936,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3937,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3938,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3939,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3940,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3941,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3942,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3943,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3944,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3945,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3946,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3947,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3948,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3949,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3950,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3951,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3952,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3953,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3954,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3955,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3956,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3957,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3958,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
