,country,city,composer,work,venue,dates,dates_url
9051,Germany,Bielefeld,Massenet,Werther,Theater Bielefeld,"2, 8, 15, 29 December 2017, 23, 27 January, 1 February, 18(m) March 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=biewerthe1217
9052,Germany,Würzburg,Kálmán,Die Csárdásfürstin,Mainfranken Theater Würzburg,"2, 5, 15, 31(m), 31 December 2017, 5, 7, 10, 25, 28 January, 3, 21, 23 February, 4(m) March, 1(m), 6, 22 April 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=wzbcsarda1217
9053,Germany,Essen,Verdi,Il Trovatore,Aalto Musiktheater Essen,"2, 7, 17, 20 December 2017, 3, 13, 20 January, 4 February, 25 March, 20 April, 13, 31 May, 9 June 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=esstrovat1217
9054,Germany,Dortmund,Tchaikovsky,Eugene Onegin,Theater Dortmund,"2, 7, 20, 25, 30 December 2017, 5, 21, 28 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=drteugene1217
9055,Germany,Gelsenkirchen,Sijtsma,Moby Dick,Musiktheater im Revier,"2(m), 3(m), 3(m), 6(m), 7(m), 8(m), 12(m), 12(m), 13(m), 13(m), 14(m), 14(m), 15(m), 20(m), 20(m), 21(m), 26(m) December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=gelsijmob1217
9056,Germany,Munich,Humperdinck,Hansel und Gretel,Staatstheater am Gärtnerplatz,"2, 5(m), 10, 17(m), 18(m), 26 December 2017, 7(m), 10 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=grthansel1217
9057,Germany,Hannover,Humperdinck,Hansel und Gretel,Staatsoper Hannover,"2, 12(m), 14(m), 14, 15(m), 15, 17, 18(m), 18, 25, 30 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=hanhansel1217
9058,Germany,Hamburg,Puccini,La bohème,Hamburg State Opera,"2, 6, 13, 16, 19 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=hamboheme1217
9059,Germany,Leipzig,Dvorak,Rusalka,Oper Leipzig,"3, 9, 14 December 2017, 4 March, 1 June 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=lpzrusalk1217
9060,Germany,Berlin,Bock,Fiddler on the Roof,Komische Oper Berlin,"3, 5, 6, 9, 16, 21, 22, 27, 29, 31 December 2017, 7, 13 January, 20, 21 February, 3, 11, 16 March, 1, 29 April, 15 July 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=komfiddle1217
9061,Germany,Bremen,Humperdinck,Hansel und Gretel,Theater Bremen,"3, 4(m), 22, 26 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=brmhansel1217
9062,Germany,Stuttgart,Cherubini,Medea,Staatstheater Stuttgart,"3, 8, 27 December 2017, 8, 15, 31 January, 3 February 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=stumedea1217
9063,Germany,Karlsruhe,Wagner,Siegfried,Badisches Staatstheater Karlsruhe,"3 December 2017, 31 March, 10 May 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=karsiegfr1217
9064,Germany,Bonn,Reynolds,Geisterritter,Oper Bonn,"3, 7, 19(m), 30(m) December 2017, 6, 12, 25, 30(m) January, 5(m), 25 February, 4 March 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bongeirit1217
9065,Germany,Berlin,Mozart,The Little Magic Flute,Deutsche Oper Berlin,"6(m), 6, 11, 12(m), 12 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=doblflute1217
9066,Germany,Lübeck,Lloyd Webber,Sunset Boulevard,Theater Lübeck,"7, 31(m), 31 December 2017, 13 January, 21 February, 29 March, 5 April 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=lubsunset1217
9067,Germany,Meiningen,Kálmán,Gräfin Mariza,Das Meininger Theater,"8, 30 December 2017, 5 January, 20(m) March, 1(m), 21(m) May 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=meigrafin1217
9068,Germany,Berlin,Humperdinck,Hansel und Gretel,Staatsoper Unter den Linden,"8, 11, 12, 23(m), 23, 25(m), 25, 29(m), 29 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=linhansel1217
9069,Germany,Bonn,Puccini,Madama Butterfly,Oper Bonn,"8, 17, 21, 26 December 2017, 13 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bonbutter1217
9070,Germany,Essen,Puccini,La bohème,Aalto Musiktheater Essen,"8, 26 December 2017, 5 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=essboheme1217
9071,Germany,Wiesbaden,Mozart,Die Zauberflöte,Hessisches Staatstheater Wiesbaden,"8, 16, 21, 27 December 2017, 4, 6, 13 January, 13, 19 April, 24 June 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=wiezauber1217
9072,Germany,Frankfurt,Massenet,Werther,Oper Frankfurt,"8, 10, 13, 18, 30 December 2017, 5, 7 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=frawerthe1217
9073,Germany,Cologne,Oehring,Kunst muss (zu weit gehen) oder Der Engel schwieg,Oper Köln,"9, 11, 13, 21 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=cgnkunst1217
9074,Germany,Munich,Donizetti,Lucia di Lammermoor,Bavarian State Opera,"9, 12, 15 December 2017, 13, 17, 20 May 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bsolucia1217
9075,Germany,Dresden,Humperdinck,Hansel und Gretel,Semperoper Dresden,"9, 26(m), 26 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=drehansel1217
9076,Germany,Freiburg,Weill,Love Life,Theater Freiburg,"9, 14, 16, 21 December 2017, 14(m), 31 January, 11, 16, 22 February, 3, 11 March, 6 April 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=fbgloveli1217
9077,Germany,Kiel,"Strauss, R",Arabella,Oper Kiel,"9, 14, 29 December 2017, 7, 11 January, 3, 17 February, 13 March, 6, 16 May 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=kiearabel1217
9078,Germany,Darmstadt,"Strauss, J",Die Fledermaus,Staatstheater Darmstadt,"9, 14, 20, 26, 31 December 2017, 9, 19 January, 1, 9 February, 4(m), 17 March, 4, 25 May, 8 June 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=darfleder1217
9079,Germany,Saarbrücken,Loewe,My Fair Lady,Saarländisches Staatstheater,"9, 12, 15, 20, 29, 31(m) December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=saamyfair1217
9080,Germany,Berlin,Monteverdi,L'incoronazione di Poppea,Staatsoper Unter den Linden,"9, 10, 13 December 2017, 8, 12, 14 July 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=linpoppea1217
9081,Germany,Wuppertal,Humperdinck,Hansel und Gretel,Oper Wuppertal,"9, 16, 18(m), 21, 23, 26(m) December 2017, 14 January, 16 February, 9(m), 10(m) March, 8(m) April 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=wuphansel1217
9082,Germany,Kassel,Mozart,Lucio Silla,Staatstheater Kassel,"9, 13, 16, 29 December 2017, 13 January, 4, 14, 20 February, 17 March 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=ksllucio1217
9083,Germany,Mannheim,Beethoven,Fidelio,Nationaltheater Mannheim,"9, 13, 19, 27 December 2017, 11, 29 January, 8, 17 February, 16, 24 March, 28 April, 10, 21 May 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=mhmfideli1217
9084,Germany,Aachen,Verdi,La Traviata,Theater Aachen,"10, 15, 22, 25, 31 December 2017, 4, 6, 14, 21, 28 January, 15, 21 February, 7, 10 March, 2, 8, 28 April, 18, 21, 31 May, 3, 14 June 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=aactravia1217
9085,Germany,Oldenburg,Humperdinck,Hansel und Gretel,Oldenburgisches Staatstheater,"10, 29 December 2017, 7 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=oldhansel1217
