,composer,complete_name,dates,uri,work
1760,Antunes,Jorge Antunes,(b.1942),http://operabase.com/visual.cgi??lang=en&is=opera&by=Antunes,O Espelho 
1761,Antunes,Jorge Antunes,(b.1942),http://operabase.com/visual.cgi??lang=en&is=opera&by=Antunes,Olga 
1762,Guridi,Jesús Guridi,(1886–1961),http://operabase.com/visual.cgi??lang=en&is=opera&by=Guridi,El caserio 
1763,Faccio,Franco [Francesco Antonio] Faccio,(1840–1891),http://operabase.com/visual.cgi??lang=en&is=opera&by=Faccio,Amleto 
1764,Narbutaite,Onutė Narbutaitė,(b.1956),http://operabase.com/visual.cgi??lang=en&is=opera&by=Narbutaite,Cornet 
1765,Tamulionis,Jonas Tamulionis,(b.1949),http://operabase.com/visual.cgi??lang=en&is=opera&by=Tamulionis,The Tiny Lingonberry [c]
1766,Statkowski,Roman Statkowski,(1859–1925),http://operabase.com/visual.cgi??lang=en&is=opera&by=Statkowski,Maria 
1767,Larsson Gothe,Mats Larsson Gothe,(b.1965),http://operabase.com/visual.cgi??lang=en&is=opera&by=Larsson Gothe,African Prophetess 
1768,Larsson Gothe,Mats Larsson Gothe,(b.1965),http://operabase.com/visual.cgi??lang=en&is=opera&by=Larsson Gothe,Blanche and Marie 
1769,Akbasli,Tevfik Akbaşli,(b.1962),http://operabase.com/visual.cgi??lang=en&is=opera&by=Akbasli,Muhtesem Suleyman 
1770,Swados,Elizabeth Swados,(b.1951),http://operabase.com/visual.cgi??lang=en&is=opera&by=Swados,The Trojan Women 
1771,Partch,Harry Partch,(1901–1974),http://operabase.com/visual.cgi??lang=en&is=opera&by=Partch,Delusion of the Fury 
1772,Verrieres,Frédéric Verrieres,(b.1968),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verrieres,Mimi 
1773,Vivier,Claude Vivier,(1948–1983),http://operabase.com/visual.cgi??lang=en&is=opera&by=Vivier,Kopernikus 
1774,Vivier,Claude Vivier,(1948–1983),http://operabase.com/visual.cgi??lang=en&is=opera&by=Vivier,Ojikawa 
1775,Medek,Ivo Medek,(b.1956),http://operabase.com/visual.cgi??lang=en&is=opera&by=Medek,Alice in Bed 
