"","work_x","composer_x","work_key"
"2104","Semiramide","Rossini","Q900744"
"2102","Semiramide","Rossini","Q16601476"
"2103","Semiramide","Rossini","Q3955083"
"1079","Serse","Handel","Q1069133"
"208","Siegfried","Wagner","Q333146"
"5359","Simon Boccanegra","Verdi","Q548161"
"35811","Sly","Wolf-Ferrari","Q1140351"
"23902","Sophie's Choice","Maw","Q15990890"
"16809","Stiffelio","Verdi","Q371584"
"8646","Street Scene","Weill","Q2355342"
"7713","Sumeida's Song","Fairouz","Q7637067"
"739","Suor Angelica","Puccini","Q769394"
"30","Susannah","Floyd","Q5790163"
"17052","Tamerlano","Handel","Q2164275"
"4736","Tancredi","Rossini","Q911443"
"7690","Tannhäuser","Wagner","Q560619"
"22079","Tartuffe","Mechem","Q7686879"
"10842","Tea: A Mirror of Soul","Dun","Q3981812"
"12412","Teseo","Handel","Q1419652"
"23145","Thaïs","Massenet","Q1144467"
"18564","The Adventures of Pinocchio","Dove","Q7712611"
"1395","The Ballad of Baby Doe","Moore","Q7715398"
"965","The Barber of Seville","Rossini","Q208659"
"966","The Barber of Seville","Rossini","Q1192391"
"39525","The Bartered Bride","Smetana","Q907745"
"55353","The Beggar's Opera","Pepusch","Q1472110"
"3736","The Burning Fiery Furnace","Britten","Q3520166"
"1319","The Consul","Menotti","Q593511"
"3830","The Cradle Will Rock","Blitzstein","Q54992382"
"3763","The Crucible","Ward","Q7728247"
"1150","The Cunning Little Vixen","Janácek","Q1171538"
"8224","The Death of Klinghoffer","Adams","Q605920"
"56513","The Desert Song","Romberg","Q7729805"
"50649","The Devils of Loudun","Penderecki","Q939433"
"15907","The Diary of Anne Frank","Frid","Q7730106"
"54205","The Dracula Diary","Moran","Q54996351"
"9437","The Dream of Valentino","Argento","Q54990714"
"9301","The Enchanted Island","Rameau","Q2342350"
"9274","The Enchanted Island","Vivaldi","Q2342350"
"9283","The Enchanted Island","Handel","Q2342350"
"9291","The Enchanted Island","Campra","Q2342350"
"2894","The Exterminating Angel","Adès","Q47004984"
"6460","The Fall of the House of Usher","Glass","Q3520831"
"41863","The Festival of Regrets","Drattell","Q54993722"
"52640","The Fiery Angel","Prokofiev","Q2372929"
"20026","The First Emperor","Dun","Q5236883"
"909","The Flying Dutchman","Wagner","Q114640"
"41861","The Food of Love","Beaser","Q54991991"
"20333","The Gambler","Prokofiev","Q1197011"
"6991","The Ghosts of Versailles","Corigliano","Q7736351"
"3622","The Golden Cockerel","Rimsky-Korsakov","Q579026"
"10688","The Gospel of Mary Magdalene","Adamo","Q54990360"
"3946","The Grapes of Wrath","Gordon","Q7737554"
"35833","The Gypsy Baron","Strauss, Jr.","Q464511"
"184","The Handmaid's Tale","Ruders","Q7738734"
"3617","The Juniper Tree","Glass","Q3521453"
"3616","The Juniper Tree","Glass","Q3521453"
