"","composer","work","work_url"
"195","Weill","Rise and Fall of the City of Mahagonny","http://www.wikidata.org/entity/Q760054"
"196","Adamo","Lysistrata, The Nude Goddess","http://www.wikidata.org/entity/Q6710250"
"197","Prokofiev","War and Peace","http://www.wikidata.org/entity/Q785515"
"198","Borodin","Prince Igor","http://www.wikidata.org/entity/Q55064700"
"199","Joplin","Treemonisha","http://www.wikidata.org/entity/Q775812"
"200","Thomson","Four Saints in Three Acts","http://www.wikidata.org/entity/Q5475468"
"201","Donizetti","Lucrezia Borgia","http://www.wikidata.org/entity/Q685501"
"202","Sullivan","Patience","http://www.wikidata.org/entity/Q3897647"
"203","Chabrier","L'Étoile","http://www.wikidata.org/entity/Q1197145"
"204","Wagner","The Rhinegold (Das Rheingold)","http://www.wikidata.org/entity/Q327717"
"205","Mozart","La finta giardiniera","http://www.wikidata.org/entity/Q785991"
"206","Sullivan","Iolanthe","http://www.wikidata.org/entity/Q3154075"
"207","Donizetti","La Fille du regiment","http://www.wikidata.org/entity/Q729568"
"208","Saariaho","L'Amour de loin","http://www.wikidata.org/entity/Q1093081"
"209","Donizetti","La Favorite","http://www.wikidata.org/entity/Q467394"
"210","Berlioz","La Damnation de Faust","http://www.wikidata.org/entity/Q1144992"
"211","Mascagni","L'amico Fritz","http://www.wikidata.org/entity/Q578706"
"212","Ruders","The Handmaid's Tale","http://www.wikidata.org/entity/Q7738734"
"213","Rossini","Il turco in Italia","http://www.wikidata.org/entity/Q477643"
"214","Handel","Tamerlano","http://www.wikidata.org/entity/Q2164275"
"215","Puccini","Sister Angelica","http://www.wikidata.org/entity/Q769394"
"216","Berlioz","Les Troyens","http://www.wikidata.org/entity/Q472325"
"217","Thomson","The Mother of Us All","http://www.wikidata.org/entity/Q7752429"
"218","Mozart","The Magic Flute (adapted)","http://www.wikidata.org/entity/Q5064"
"219","Dun","Tea: A Mirror of Soul","http://www.wikidata.org/entity/Q3981812"
"220","Verdi","I vespri siciliani","http://www.wikidata.org/entity/Q471645"
"221","Verdi","Il Corsaro","http://www.wikidata.org/entity/Q467289"
"222","Nyman","The Man Who Mistook His Wife for a Hat","http://www.wikidata.org/entity/Q2680386"
"223","Britten","The Burning Fiery Furnace","http://www.wikidata.org/entity/Q3520166"
"224","Aldridge","Elmer Gantry","http://www.wikidata.org/entity/Q5366558"
"225","Berg","Lulu","http://www.wikidata.org/entity/Q837545"
"226","Carlson","Anna Karenina","http://www.wikidata.org/entity/Q4767140"
"227","Massenet","Don Quichotte","http://www.wikidata.org/entity/Q727793"
"228","Britten","Curlew River","http://www.wikidata.org/entity/Q615696"
"229","Berlioz","Béatrice et Bénédict","http://www.wikidata.org/entity/Q791661"
"230","Krása","Brundibar","http://www.wikidata.org/entity/Q565663"
"231","Strauss","Die Frau ohne Schatten","http://www.wikidata.org/entity/Q1143019"
"232","Adams","A Flowering Tree","http://www.wikidata.org/entity/Q2148578"
"233","Haydn","Armida","http://www.wikidata.org/entity/Q238762"
"234","Strauss","Daphne","http://www.wikidata.org/entity/Q1165496"
"235","Wagner","Die Meistersinger von Nurnberg","http://www.wikidata.org/entity/Q465540"
"236","Tchaikovsky","Mazeppa","http://www.wikidata.org/entity/Q1081440"
"237","Bellini","Il Pirata","http://www.wikidata.org/entity/Q467292"
"238","Cimarosa","Il matrimonio segreto","http://www.wikidata.org/entity/Q428319"
"239","Donizetti","Maria Padilla","http://www.wikidata.org/entity/Q756150"
"240","Verdi","Macbeth (1847 original)","http://www.wikidata.org/entity/Q320363"
"241","Stravinsky","Oedipus rex","http://www.wikidata.org/entity/Q1891546"
"242","Prokofiev","Betrothal in a Monastery","http://www.wikidata.org/entity/Q2629201"
"243","Verdi","I masnadieri","http://www.wikidata.org/entity/Q466338"
"244","Verdi","I lombardi alla prima crociata","http://www.wikidata.org/entity/Q468625"
"245","Verdi","I due Foscari","http://www.wikidata.org/entity/Q468112"
"246","Rossini","Il viaggio a Reims","http://www.wikidata.org/entity/Q470983"
"247","Halévy","La Juive","http://www.wikidata.org/entity/Q339043"
