,work,date,language,work_url
24771,Ernani / Hernani,1998-12-26,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13609
24772,Mefistofele,1998-12-27,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13903
24773,Die Zauberflöte,1998-12-29,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7355
24774,Ernani / Hernani,1998-12-30,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13610
24775,Die Fledermaus,1998-12-31,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/9432
24776,Die Fledermaus,1999-01-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/9438
24777,Die Fledermaus,1999-01-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/9440
24778,Ernani / Hernani,1999-01-03,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13611
24779,Tosca,1999-01-05,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5476
24780,Die Meistersinger von Nürnberg,1999-01-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/1635
24781,L' elisir d'amore,1999-01-07,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/505
24782,Tosca,1999-01-09,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5479
24783,Die Meistersinger von Nürnberg,1999-01-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/1636
24784,Der Rosenkavalier,1999-01-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/3350
24785,Die Meistersinger von Nürnberg,1999-01-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/1637
24786,Linda di Chamounix,1999-01-14,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/14269
24787,Der Rosenkavalier,1999-01-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/3353
24788,Oedipe,1999-01-16,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/1865
24789,Linda di Chamounix,1999-01-17,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/14277
24790,Die Zauberflöte,1999-01-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7360
24791,I Vespri Siciliani,1999-01-19,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7675
24792,Oedipe,1999-01-20,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/1867
24793,La traviata,1999-01-21,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6859
24794,I Vespri Siciliani,1999-01-22,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7676
24795,Oedipe,1999-01-23,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/1868
24796,La traviata,1999-01-25,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6861
24797,I Vespri Siciliani,1999-01-26,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7677
24798,Die Zauberflöte,1999-01-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7377
24799,Der fliegende Holländer,1999-01-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/3960
24800,Der fliegende Holländer,1999-01-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/3961
24801,Madama Butterfly,1999-02-01,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/8717
24802,Stiffelio,1999-02-02,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/2237
24803,Die lustige Witwe,1999-02-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13023
24804,Madama Butterfly,1999-02-05,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/8718
24805,Die lustige Witwe,1999-02-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/14772
24806,Stiffelio,1999-02-07,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/2239
24807,Die lustige Witwe,1999-02-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/14773
24808,Tosca,1999-02-09,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5481
24809,Tosca,1999-02-12,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5482
24810,Die lustige Witwe,1999-02-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/14799
24811,Salome,1999-02-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/9706
24812,Die lustige Witwe,1999-02-16,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/14802
24813,Die Zauberflöte,1999-02-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7396
24814,Das Rheingold,1999-02-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11297
24815,Die lustige Witwe,1999-02-19,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/14806
24816,Die Walküre,1999-02-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11043
24817,Die lustige Witwe,1999-02-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/14807
24818,Jérusalem,1999-02-22,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/710
24819,Un ballo in maschera,1999-02-23,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/8549
24820,Die schweigsame Frau,1999-02-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13245
