,work,composer,librettist,theatre,date
8817,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Theatre Royal, Glasgow",2014-02-01
8818,General,,,Edinburgh Society of Musicians,2014-01-29
8819,General,,,Edinburgh Society of Musicians,2014-02-05
8820,General,,,Edinburgh Society of Musicians,2014-02-12
8821,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Theatre Royal, Glasgow",2014-01-30
8822,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Theatre Royal, Glasgow",2014-02-01
8823,General,,,Friends of Scottish Opera,2014-02-02
8824,General,,,Friends of Scottish Opera,2014-02-02
8825,General,,,Friends of Scottish Opera,2014-02-07
8826,General,,,"Queen's Hall, Edinburgh",2014-02-07
8827,General,,,"City Halls, Glasgow",2014-02-09
8828,Rusalka,Antonín Dvořák,Jaroslav Kvapil,"Belmont Picturehouse, Aberdeen",2014-02-08
8829,Rusalka,Antonín Dvořák,Jaroslav Kvapil,Dundee Contemporary Arts (DCA),2014-02-08
8830,Rusalka,Antonín Dvořák,Jaroslav Kvapil,"Odeon Cinema, Dunfermline",2014-02-08
8831,Rusalka,Antonín Dvořák,Jaroslav Kvapil,"Cameo Picturehouse, Edinburgh",2014-02-08
8832,Rusalka,Antonín Dvořák,Jaroslav Kvapil,Cineworld Falkirk,2014-02-08
8833,Rusalka,Antonín Dvořák,Jaroslav Kvapil,"Pavilion Cinema, Galashiels",2014-02-08
8834,Rusalka,Antonín Dvořák,Jaroslav Kvapil,Cineworld Glasgow Renfrew St,2014-02-08
8835,Rusalka,Antonín Dvořák,Jaroslav Kvapil,"Playhouse, Perth",2014-02-08
8836,Rusalka,Antonín Dvořák,Jaroslav Kvapil,"New Picture House, St Andrews",2014-02-08
8837,General,,,Edinburgh Society of Musicians,2014-02-09
8838,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Cineworld Aberdeen,2014-02-12
8839,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Vue Aberdeen,2014-02-12
8840,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Thurso Cinema,2014-02-12
8841,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Maltings Theatre, Berwick-upon-Tweed",2014-02-12
8842,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Eden Court Theatre,2014-02-12
8843,General,,,Alexander Gibson Opera Studio (RSAMD),2014-02-13
8844,Judgment of Paris,John Eccles,William Congreve,Cowdray Hall,2014-02-14
8845,General,,,Friends of Scottish Opera,2014-02-15
8846,General,,,Friends of Scottish Opera,2014-02-16
8847,General,,,Friends of Scottish Opera,2014-02-26
8848,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Festival Theatre, Edinburgh",2014-02-18
8849,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Festival Theatre, Edinburgh",2014-02-20
8850,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Festival Theatre, Edinburgh",2014-02-22
8851,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Festival Theatre, Edinburgh",2014-02-19
8852,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Festival Theatre, Edinburgh",2014-02-22
8853,General,,,St Andrews and St George's West,2014-02-22
8854,Aïda,Giuseppe Verdi,Antonio Ghislanzoni,"His Majesty's Theatre, Aberdeen",2014-02-24
8855,Aïda,Giuseppe Verdi,Antonio Ghislanzoni,"His Majesty's Theatre, Aberdeen",2014-02-25
8856,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée",St Andrews and St George's West,2014-02-25
8857,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée",St Andrews and St George's West,2014-02-26
8858,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée",St Andrews and St George's West,2014-02-28
8859,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée",St Andrews and St George's West,2014-03-01
8860,General,,,Howden Park Centre,2014-02-25
8861,General,,,"Village Hall, Craignish",2014-02-27
8862,General,,,"Community Centre, Bunessan",2014-03-01
8863,General,,,"Village Hall, Ballachulish",2014-03-04
8864,General,,,Sabhal Mor Ostaig,2014-03-06
8865,General,,,"Gairloch Community Hall, Raonmor",2014-03-08
8866,General,,,"Village Hall, Carrbridge",2014-03-11
8867,General,,,Edinburgh Society of Musicians,2014-02-26
8868,General,,,Edinburgh Society of Musicians,2014-03-05
8869,General,,,Edinburgh Society of Musicians,2014-03-12
8870,Nabucco,,,"His Majesty's Theatre, Aberdeen",2014-02-26
8871,General,,,Friends of Scottish Opera,2014-03-01
8872,General,,,Friends of Scottish Opera,2014-03-02
8873,General,,,Friends of Scottish Opera,2014-03-02
8874,General,,,Friends of Scottish Opera,2014-03-07
8875,Prince Igor,Alexander Porfirievich Borodin,Alexander Porfirievich Borodin,"Belmont Picturehouse, Aberdeen",2014-03-01
8876,Prince Igor,Alexander Porfirievich Borodin,Alexander Porfirievich Borodin,Dundee Contemporary Arts (DCA),2014-03-01
8877,Prince Igor,Alexander Porfirievich Borodin,Alexander Porfirievich Borodin,"Odeon Cinema, Dunfermline",2014-03-01
8878,Prince Igor,Alexander Porfirievich Borodin,Alexander Porfirievich Borodin,"Cameo Picturehouse, Edinburgh",2014-03-01
8879,Prince Igor,Alexander Porfirievich Borodin,Alexander Porfirievich Borodin,Cineworld Falkirk,2014-03-01
8880,Prince Igor,Alexander Porfirievich Borodin,Alexander Porfirievich Borodin,"Pavilion Cinema, Galashiels",2014-03-01
8881,Prince Igor,Alexander Porfirievich Borodin,Alexander Porfirievich Borodin,Cineworld Glasgow Renfrew St,2014-03-01
8882,Prince Igor,Alexander Porfirievich Borodin,Alexander Porfirievich Borodin,"Playhouse, Perth",2014-03-01
8883,Prince Igor,Alexander Porfirievich Borodin,Alexander Porfirievich Borodin,"New Picture House, St Andrews",2014-03-01
8884,General,,,Royal Conservatoire of Scotland,2014-03-06
8885,General,,,Voice Horizons,2014-03-08
8886,General,,,St Andrews and St George's West,2014-03-08
8887,General,,,Alexander Gibson Opera Studio (RSAMD),2014-03-13
8888,General,,,"Arts Theatre, Orkney",2014-03-13
8889,General,,,"Community Theatre, Black Isle",2014-03-15
8890,General,,,Morrison's Academy Hall,2014-03-18
8891,General,,,"Village Hall, Midmar",2014-03-20
8892,General,,,"Town Hall, Montrose",2014-03-22
8893,General,,,"Corn Exchange, Cupar",2014-03-25
8894,General,,,"Town Hall, Dalbeattie",2014-03-27
8895,General,,,"Victoria Hall, Selkirk",2014-03-29
8896,General,,,"Village Hall, Whiting Bay",2014-04-01
8897,General,,,"Town Hall, Maybole",2014-04-03
8898,General,,,East Kilbride Village Theatre,2014-04-05
8899,Nabucco,,,"Playhouse Theatre, Edinburgh",2014-03-13
8900,Nabucco,,,"Royal Concert Hall, Glasgow",2014-03-16
8901,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Playhouse Theatre, Edinburgh",2014-03-14
8902,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Royal Concert Hall, Glasgow",2014-03-17
8903,General,,,Alexander Gibson Opera Studio (RSAMD),2014-03-15
8904,Werther,Jules Massenet,"Edouard Blau
				Paul Milliet
				Georges Hartmann","Belmont Picturehouse, Aberdeen",2014-03-15
8905,Werther,Jules Massenet,"Edouard Blau
				Paul Milliet
				Georges Hartmann",Dundee Contemporary Arts (DCA),2014-03-15
8906,Werther,Jules Massenet,"Edouard Blau
				Paul Milliet
				Georges Hartmann","Odeon Cinema, Dunfermline",2014-03-15
