clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Kiurkchiysky, Krasimir","Kiurkchiysky, Krasimir",1936,,Bulgaria,,opera.stanford,,"Kiurkchiysky, Krasimir"
"Klaus, Kenneth Blanchard","Klaus, Kenneth Blanchard",1923,1980,United States,,opera.stanford,,"Klaus, Kenneth Blanchard"
"Klauwell, Otto","Klauwell, Otto (Adolf)",1851,1917,Germany,,opera.stanford,,"Klauwell, Otto (Adolf)"
"Klebanov, Dmitri","Klebanov, Dmitri",1907,1989,Ukraine,,opera.stanford,,"Klebanov, Dmitri"
"Klebe, Giselher","Klebe, Giselher (Wolfgang)",1925,,Germany,,opera.stanford,,"Klebe, Giselher (Wolfgang)"
"Kleen, Johan Christoph","Kleen, Johan Christoph",,,Denmark,,opera.stanford,,"Kleen, Johan Christoph"
"Kleffel, Arno","Kleffel, Arno",1840,1913,Germany,,opera.stanford,,"Kleffel, Arno"
"Klein, Bernhard","Klein, Bernhard (Joseph)",1793,1832,Germany,,opera.stanford,,"Klein, Bernhard (Joseph)"
"Klein, Bruno Oscar","Klein, Bruno Oscar",1858,1911,Germany,,opera.stanford,,"Klein, Bruno Oscar"
"Klein, Fritz Heinrich","Klein, Fritz Heinrich",1892,,Hungary,,opera.stanford,,"Klein, Fritz Heinrich"
"Klein, Josef","Klein, Josef",1802,1862,Germany,,opera.stanford,,"Klein, Josef"
"Klein, Lothar","Klein, Lothar (Karl)",1932,2004,Germany,,opera.stanford,,"Klein, Lothar (Karl)"
"Kleinheinz, Franz Xaver","Kleinheinz, Franz Xaver",1765,1832,Germany,,opera.stanford,,"Kleinheinz, Franz Xaver"
"Kleinmichel, Richard","Kleinmichel, Richard",1846,1901,Poland,,opera.stanford,,"Kleinmichel, Richard"
"Kleinsinger, George","Kleinsinger, George",1914,1982,Mali,,opera.stanford,,"Kleinsinger, George"
"Klemmstein, ",Klemmstein,1941,,Germany,Male,operabase,Klemmstein,
"Klemperer, Otto","Klemperer, Otto",1885,1973,Poland,,opera.stanford,,"Klemperer, Otto"
"Klenau, Paul von","Klenau, Paul (August) von",1883,1946,Denmark,,opera.stanford,,"Klenau, Paul (August) von"
"Klicka, Josef","Klicka, Josef",1855,1937,Czechia,,opera.stanford,,"Klicka, Josef"
"Klinichev, Leonid",Klinichev Leonid,1938,,Russia,Male,operabase,Klinichev,
"Klitsch, Karl Emanuel","Klitsch, Karl Emanuel",1812,1889,Germany,,opera.stanford,,"Klitsch, Karl Emanuel"
"Klose, Friedrich","Klose, Friedrich (Karl Wilhelm)",1862,1942,Germany,,opera.stanford,,"Klose, Friedrich (Karl Wilhelm)"
"Klughardt, August","Klughardt, August (Friedrich Martin)",1847,1902,Germany,,opera.stanford,,"Klughardt, August (Friedrich Martin)"
"Klusák, Jan",Klusak,1934,,Czechia,Male,operabase,Klusak,"Klusák, Jan"
"Klussmann, Ernst Gernot","Klussmann, Ernst Gernot",1901,1975,Germany,,opera.stanford,,"Klussmann, Ernst Gernot"
"Knaifel, Alexander","Knaifel, Alexander",1943,,Uzbekistan,,opera.stanford,,"Knaifel, Alexander"
"Knapik, ",Knapik,1951,,Poland,Male,operabase,Knapik,
"Knecht, Justin Heinrich","Knecht, Justin Heinrich",1752,1817,Germany,,opera.stanford,,"Knecht, Justin Heinrich"
"Kniese, Julius","Kniese, Julius",1848,1905,Germany,,opera.stanford,,"Kniese, Julius"
"Knipper, Lev","Knipper, Lev (Konstantinovich)",1898,1974,Georgia,,opera.stanford,,"Knipper, Lev (Konstantinovich)"
"Knorr, Iwan","Knorr, Iwan (Otto Armand)",1853,1916,Germany,,opera.stanford,,"Knorr, Iwan (Otto Armand)"
"Knussen, ",Knussen ,1952,,United Kingdom,Male,operabase,Knussen,"Knussen, (Stuart) Oliver"
"Kobekin, ",Kobekin,1947,,Russia,Male,operabase,Kobekin,
"Kobelius, Johann Augustin","Kobelius, Johann Augustin",1674,1731,Germany,,opera.stanford,,"Kobelius, Johann Augustin"
"Koch, Erland von","Koch, (Sigurd Christian) Erland von",1910,,Sweden,,opera.stanford,,"Koch, (Sigurd Christian) Erland von"
"Koch, Friedrich E","Koch, Friedrich E(rnst)",1862,1927,Germany,,opera.stanford,,"Koch, Friedrich E(rnst)"
"Kochan, Günter","Kochan, Günter",1930,,Germany,,opera.stanford,,"Kochan, Günter"
"Kocher, Conrad","Kocher, Conrad",1786,1872,Germany,,opera.stanford,,"Kocher, Conrad"
"Koczalski, Raoul","Koczalski, Raoul [Raul] (Armand Georg)",1884,1948,Poland,,opera.stanford,,"Koczalski, Raoul [Raul] (Armand Georg)"
"Kodály, Zoltán","Kodály, Zoltán",1882,1967,Hungary,,opera.stanford,,"Kodály, Zoltán"
"Kodalli, Nevit","Kodalli, Nevit",1924,,Turkey,,opera.stanford,,"Kodalli, Nevit"
"Kodaly, ",Kodaly,1882,1967,Hungary,Male,operabase,Kodaly,
"Koeberg, Frits Ehrhardt Adriaan","Koeberg, Frits Ehrhardt Adriaan",1876,1961,Netherlands,,opera.stanford,,"Koeberg, Frits Ehrhardt Adriaan"
"Koerppen, Alfred","Koerppen, Alfred",1926,,Germany,,opera.stanford,,"Koerppen, Alfred"
"Koessler, Hans","Koessler [Kössler], Hans",1853,1926,Germany,,opera.stanford,,"Koessler [Kössler], Hans"
"Koetsier, Jan","Koetsier, Jan",1911,,Netherlands,,opera.stanford,,"Koetsier, Jan"
"Kogoj, Marij","Kogoj, Marij",1895,1956,Italy,,opera.stanford,Kogoj,"Kogoj, Marij"
"Kohaut, Josef","Kohaut [Kohault, Kohout], (Wenzel) Josef (Thomas)",1738,1793,Czechia,,opera.stanford,,"Kohaut [Kohault, Kohout], (Wenzel) Josef (Thomas)"
"Kohoutek, Ctirad","Kohoutek, Ctirad",1929,,Czechia,,opera.stanford,,"Kohoutek, Ctirad"
"Kohs, Ellis Bonoff","Kohs, Ellis Bonoff",1916,2000,United States,,opera.stanford,,"Kohs, Ellis Bonoff"
"Kokkonen, Joonas","Kokkonen, Joonas",1921,1996,Finland,,opera.stanford,,"Kokkonen, Joonas"
"Kolberg, Oskar","Kolberg, (Henryk) Oskar",1814,1890,Poland,,opera.stanford,,"Kolberg, (Henryk) Oskar"
"Kollo, ",Kollo,1904,1988,Germany,Male,operabase,Kollo,
"Kollo, Walter","Kollo [Kollodziewyski], (Elimar) Walter",1878,1940,Germany,,opera.stanford,,"Kollo [Kollodziewyski], (Elimar) Walter"
"Kolmanovsky, ",Kolmanovsky,1923,1994,Russia,Male,operabase,Kolmanovsky,
"Kolodub, Levko",Kolodub Levko,1930,,Ukraine,Male,operabase,Kolodub,
"Kolonovits, ",Kolonovits,1952,,Austria,Male,operabase,Kolonovits,
"Komorous, Rudolf","Komorous, Rudolf",1931,,Czechia,,opera.stanford,Komorous,"Komorous, Rudolf"
"Komzák, Karel","Komzák, Karel",1850,1905,Czechia,,opera.stanford,,"Komzák, Karel"
"Kondorossy, Leslie","Kondorossy, Leslie",1915,,Slovakia,,opera.stanford,,"Kondorossy, Leslie"
"Kondracki, Michal","Kondracki, Michal",1902,,Ukraine,,opera.stanford,,"Kondracki, Michal"
"Koning, David","Koning, David",1820,1876,Netherlands,,opera.stanford,,"Koning, David"
"Konink, Servaas de","Konink [Koninck, Kooninck, Coning, Cooninck, Koning], Servaas de",,1717,Netherlands,,opera.stanford,,"Konink [Koninck, Kooninck, Coning, Cooninck, Koning], Servaas de"
"Konjovic, Petar","Konjovic, Petar",1882,1970,Serbia,,opera.stanford,,"Konjovic, Petar"
"Kono, Kristo","Kono, Kristo [Kristaq]",1907,1991,Albania,,opera.stanford,,"Kono, Kristo [Kristaq]"
"Kont, Paul","Kont, Paul",1920,,Austria,,opera.stanford,,"Kont, Paul"
"Kontz, ",Kontz,1976,,Luxembourg,Female,operabase,Kontz,
"Koppel, Herman D","Koppel, Herman D(avid)",1908,1998,Denmark,,opera.stanford,,"Koppel, Herman D(avid)"
"Koppel, Thomas Herman","Koppel, Thomas Herman",1944,,Denmark,,opera.stanford,,"Koppel, Thomas Herman"
"Kopytman, Mark","Kopytman, Mark",1929,2011,Russia,,opera.stanford,,"Kopytman, Mark"
"Korchmaryov, Klimenty","Korchmaryov [Korchmarev], Klimenty (Arkad'yevich)",1899,1958,Russia,,opera.stanford,,"Korchmaryov [Korchmarev], Klimenty (Arkad'yevich)"
"Koreshchenko, Arseni","Koreshchenko, Arseni (Nikolaievich)",1870,1921,Russia,,opera.stanford,,"Koreshchenko, Arseni (Nikolaievich)"
"Korn, Clara Anna","Korn, Clara Anna",1866,1940,Germany,,opera.stanford,,"Korn, Clara Anna"
"Korn, Peter Jona","Korn, Peter Jona",1922,1998,Germany,,opera.stanford,,"Korn, Peter Jona"
"Korndorf, Nikolai","Korndorf, Nikolai (Sergeevich)",1947,2001,Russia,,opera.stanford,,"Korndorf, Nikolai (Sergeevich)"
"Korngold, Erich Wolfgang","Korngold, Erich Wolfgang",1897,1957,Czechia,,opera.stanford,Korngold,"Korngold, Erich Wolfgang"
"Korte, ",Korte,1969,,Germany,Male,operabase,Korte,
"Kortekangas, Olli","Kortekangas, Olli",1955,,Finland,,opera.stanford,,"Kortekangas, Olli"
"Kortes, ",Kortes,1935,,Belarus,Male,operabase,Kortes,
"Korvits, ",Korvits,1969,,Estonia,Male,operabase,Korvits,
"Koschat, Thomas","Koschat, Thomas",1845,1914,Austria,,opera.stanford,,"Koschat, Thomas"
"Kosecka, ",Kosecka,1989,,Poland,Female,operabase,Kosecka,
"Kosev, ",Kosev,1935,,Bulgaria,Male,operabase,Kosev,
"Koskinen, ",Koskinen,1972,,Finland,Male,operabase,Koskinen,
"Kosma, Joseph","Kosma, Joseph",1905,,Hungary,,opera.stanford,,"Kosma, Joseph"
"Kospoth, Otto Carl Erdmann,","Kospoth, Otto Carl Erdmann,",,,Germany,,opera.stanford,,"Kospoth, Otto Carl Erdmann,"
"Kostic, Dusan","Kostic, Dusan",1925,,Croatia,,opera.stanford,,"Kostic, Dusan"
"Kostov, ",Kostov,1941,,Bulgaria,Male,operabase,Kostov,
"Kotik, ",Kotik,1942,,Czechia,Male,operabase,Kotik,
"Koumendakis, ",Koumendakis,1959,,Greece,Male,operabase,Koumendakis,
"Kounadis, Arghyris","Kounadis, Arghyris",1924,,Turkey,,opera.stanford,,"Kounadis, Arghyris"
"Kourliandski, ",Kourliandski,1976,,Russia,Male,operabase,Kourliandski,
"Kouroupos, George",Kouroupos George,1942,,Greece,Male,operabase,Kouroupos,
"Koutzen, Boris","Koutzen, Boris",1901,1966,Russia,,opera.stanford,,"Koutzen, Boris"
"Kovách, Andor","Kovách, Andor",1915,,Romania,,opera.stanford,,"Kovách, Andor"
"Koval, Marian","Koval, Marian (Viktorovich)",1907,1971,Slovenia,,opera.stanford,,"Koval, Marian (Viktorovich)"
"Kovalev, Pavel","Kovalev, Pavel",1890,1951,Russia,,opera.stanford,,"Kovalev, Pavel"
"Kovaricek, Frantisek","Kovaricek, Frantisek",1924,2003,Czechia,,opera.stanford,,"Kovaricek, Frantisek"
"Kovarovic, Karel","Kovarovic, Karel",1862,1920,Czechia,,opera.stanford,,"Kovarovic, Karel"
