clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Dietsch, ",Dietsch,1808,1865,France,Male,operabase,Dietsch,"Dietsch [Dietzch, Dietz], (Pierre-)Louis(-Philippe)"
"Dijk, Jan van","Dijk, Jan van",1918,,Netherlands,,opera.stanford,,"Dijk, Jan van"
"Dimas de Melo Pimenta, Emanuel","Dimas de Melo Pimenta, Emanuel",1957,,Brazil,,opera.stanford,,"Dimas de Melo Pimenta, Emanuel"
"Dimitrescu, Constantin","Dimitrescu, Constantin",1847,1928,Romania,,opera.stanford,,"Dimitrescu, Constantin"
"Dimmler, Franz Anton","Dimmler [Dimler, D√ºmler], Franz Anton",1753,1827,Germany,,opera.stanford,,"Dimmler [Dimler, D√ºmler], Franz Anton"
"Dimov, Ivan","Dimov, Ivan",1927,,Bulgaria,,opera.stanford,,"Dimov, Ivan"
"dIndia, Sigismondo","d'India, Sigismondo",1582,1629,Italy,,opera.stanford,,"d'India, Sigismondo"
"dIndy, Vincent","d'Indy, (Paul-Marie-Th√©odore-)Vincent",1851,1931,France,,opera.stanford,,"d'Indy, (Paul-Marie-Th√©odore-)Vincent"
"Dittersdorf, Karl Ditters von","Dittersdorf, Karl Ditters von",1739,1799,Austria,,opera.stanford,,"Dittersdorf, Karl Ditters von"
"Dittrich, Paul-Heinz",Dittrich Paul-Heinz,1930,,Germany,Male,operabase,Dittrich,
"Dluski, Erazm","Dluski, Erazm",1857,1923,Poland,,opera.stanford,,"Dluski, Erazm"
"Dobronic, Antun","Dobronic, Antun",1878,1955,Croatia,,opera.stanford,,"Dobronic, Antun"
"Dobrzynski, Ignacy Feliks","Dobrzynski, Ignacy Feliks",1807,1867,Poland,,opera.stanford,Dobrzynski,"Dobrzynski, Ignacy Feliks"
"Doche, Alexandre Pierre Joseph","Doche, Alexandre Pierre Joseph",1799,1849,France,,opera.stanford,,"Doche, Alexandre Pierre Joseph"
"Doche, Joseph-Denis","Doche, Joseph-Denis",1766,1825,France,,opera.stanford,,"Doche, Joseph-Denis"
"Doderer, ",Doderer,1969,,Austria,Female,operabase,Doderer,
"Dodgson, Stephen","Dodgson, Stephen",1924,,United Kingdom,,opera.stanford,,"Dodgson, Stephen"
"Doelle, Franz","Doelle, Franz",1883,1965,Germany,,opera.stanford,,"Doelle, Franz"
"Dogru, ",Dogru,1971,,Turkey,Male,operabase,Dogru,
"Dohnanyi, Ernő",Dohnanyi Ernő,1877,1960,Hungary,Male,operabase,Dohnanyi,"Dohn√°nyi, Ern√∂ [Ernst von]"
"Doire, Ren√©","Doire, Ren√©",1879,1959,France,,opera.stanford,,"Doire, Ren√©"
"Dolin, Samuel","Dolin, Samuel (Joseph)",1917,2002,Canada,,opera.stanford,,"Dolin, Samuel (Joseph)"
"dOllone, Max","d'Ollone, Max(imilien-Paul-Marie-F√©lix)",1875,1959,France,,opera.stanford,,"d'Ollone, Max(imilien-Paul-Marie-F√©lix)"
"Domenico, Gianpaolo di Paolo, Giampaolo de, Giovan Paolo de","Domenico [Domenici], Gianpaolo di [Paolo, Giampaolo de, Giovan Paolo de",,,Italy,,opera.stanford,,"Domenico [Domenici], Gianpaolo di [Paolo, Giampaolo de, Giovan Paolo de"
"Dominiceti, Cesare","Dominiceti, Cesare",1821,1888,Italy,,opera.stanford,,"Dominiceti, Cesare"
"Donati, Pino","Donati, Pino",1907,1975,Italy,,opera.stanford,,"Donati, Pino"
"Donatoni, Franco",Donatoni Franco,1927,2000,Italy,Male,operabase,Donatoni,
"Donaudy, Stefano","Donaudy, Stefano",1879,1925,Italy,,opera.stanford,,"Donaudy, Stefano"
"Donizetti, Alfredo","Donizetti [Ciummei], Alfredo",1867,1921,Turkey,,opera.stanford,,"Donizetti [Ciummei], Alfredo"
"Donizetti, Gaetano","Donizetti, Gaetano",1797,1848,Italy,,opera.stanford,Donizetti,"Donizetti, Gaetano"
"Donnini, Girolamo","Donnini, Girolamo",,1752,Germany,,opera.stanford,,"Donnini, Girolamo"
"Dopper, Cornelis","Dopper, Cornelis",1870,1939,Netherlands,,opera.stanford,,"Dopper, Cornelis"
"Doppler, √Årp√°d","Doppler, √Årp√°d",1857,,Hungary,,opera.stanford,,"Doppler, √Årp√°d"
"Doppler, Franz","Doppler, (Albert) Franz [Ferenc]",1821,1883,Ukraine,,opera.stanford,,"Doppler, (Albert) Franz [Ferenc]"
"Doppler, Karl","Doppler, Karl [K√°roly]",1825,1900,Ukraine,,opera.stanford,,"Doppler, Karl [K√°roly]"
"Doran, Matt","Doran, Matt (Higgins)",1921,2016,United States,,opera.stanford,,"Doran, Matt (Higgins)"
"Doret, Gustave","Doret, Gustave",1866,1943,Switzerland,,opera.stanford,,"Doret, Gustave"
"Dorman, ",Dorman,1975,,Israel,Male,operabase,Dorman,
"Dorn, Alexander","Dorn, Alexander (Julius Paul)",1833,1901,Latvia,,opera.stanford,,"Dorn, Alexander (Julius Paul)"
"Dorn, Heinrich","Dorn, Heinrich (Ludwig Egmont)",1804,1892,Germany,,opera.stanford,,"Dorn, Heinrich (Ludwig Egmont)"
"Dornel, Louis-Antoine","Dornel, Louis-Antoine",1680,1756,France,,opera.stanford,,"Dornel, Louis-Antoine"
"Dorsch, ",Dorsch,1968,,Germany,Male,operabase,Dorsch,
"Dosenko, ",Dosenko,,,Ukraine,Male,operabase,Dosenko,
"Doss, Adolf von","Doss, Adolf von",1823,1886,Germany,,opera.stanford,,"Doss, Adolf von"
"Dostal, Nico","Dostal, Nico",1895,1981,Austria,,opera.stanford,Dostal,"Dostal, Nico"
Dotzauer. Friedrich,Dotzauer. (Justus Johann) Friedrich,1783,1860,Germany,,opera.stanford,,Dotzauer. (Justus Johann) Friedrich
"Douay, Georges","Douay, Georges",1840,,France,,opera.stanford,,"Douay, Georges"
"Doubrava, Jaroslav","Doubrava, Jaroslav",1909,1960,Czechia,,opera.stanford,,"Doubrava, Jaroslav"
"Douglas, Clive Martin","Douglas, Clive Martin",1903,1977,Australia,,opera.stanford,,"Douglas, Clive Martin"
"Dourlen, Victor","Dourlen, Victor(-Charles-Paul)",1780,1864,France,,opera.stanford,,"Dourlen, Victor(-Charles-Paul)"
"Dove, ",Dove,1959,,United Kingdom,Male,operabase,Dove,
"Draeseke, Felix","Draeseke, Felix (August Bernhard)",1835,1913,Germany,,opera.stanford,,"Draeseke, Felix (August Bernhard)"
"Draghi, Antonio","Draghi, Antonio",1634,1700,Italy,,opera.stanford,,"Draghi, Antonio"
"Dragoi, Sab√≠n V","Dragoi, Sab√≠n V(asile)",1894,1968,Romania,,opera.stanford,,"Dragoi, Sab√≠n V(asile)"
"Drake, Earl R","Drake, Earl R(oss)",1865,1916,United States,,opera.stanford,,"Drake, Earl R(oss)"
"Drake, Erik","Drake, Erik",1788,1870,Sweden,,opera.stanford,,"Drake, Erik"
"Drdla, Frantisek Alois","Drdla, Frantisek [Franz] Alois",1869,1944,Czechia,,opera.stanford,,"Drdla, Frantisek [Franz] Alois"
"Drechsler, Joseph","Drechsler, Joseph",1782,1852,Austria,,opera.stanford,,"Drechsler, Joseph"
"Dresden, Sem","Dresden, Sem",1881,1957,Netherlands,,opera.stanford,,"Dresden, Sem"
"Dresher, Paul","Dresher, Paul (Joseph)",1951,,United States,,opera.stanford,,"Dresher, Paul (Joseph)"
"Dressel, Erwin","Dressel, Erwin",1909,1972,Germany,,opera.stanford,,"Dressel, Erwin"
"Dreszer, Anastazy Wilhelm","Dreszer, Anastazy Wilhelm",1845,1907,Poland,,opera.stanford,,"Dreszer, Anastazy Wilhelm"
"Drexel, Johann Chrysostom","Drexel, Johann Chrysostom",1758,1801,Germany,,opera.stanford,,"Drexel, Johann Chrysostom"
"Dreyfus, George","Dreyfus, George (Georg)",1928,,Germany,,opera.stanford,,"Dreyfus, George (Georg)"
"Dreyschock, Alexander","Dreyschock, Alexander",1818,1869,Czechia,,opera.stanford,,"Dreyschock, Alexander"
"Drieberg, Friedrich von","Drieberg, Friedrich von",1780,1856,Germany,,opera.stanford,,"Drieberg, Friedrich von"
"Driessler, Johannes","Driessler, Johannes",1921,,Germany,,opera.stanford,,"Driessler, Johannes"
"Drigo, Riccardo","Drigo, Riccardo",1846,1930,Italy,,opera.stanford,,"Drigo, Riccardo"
"Druschetzky, Georg","Druschetzky [Druzecky, Druzechi, Drzecky], Georg",1745,1819,Czechia,,opera.stanford,,"Druschetzky [Druzecky, Druzechi, Drzecky], Georg"
"Drysdale, Learmont","Drysdale, (George John) Learmont",1866,1909,United Kingdom,,opera.stanford,,"Drysdale, (George John) Learmont"
"Du Grain, Jean","Du Grain [du Grain, D√ºgren], Jean [Johann Jeremias]",,1756,France,,opera.stanford,,"Du Grain [du Grain, D√ºgren], Jean [Johann Jeremias]"
"Du, ",Du,1977,,China,Female,operabase,Du,
"Dubois, L√©on","Dubois, L√©on",1859,1935,Belgium,,opera.stanford,Dubois,"Dubois, L√©on"
"Dubois, Pierre-Max","Dubois, Pierre-Max",1930,1995,France,,opera.stanford,,"Dubois, Pierre-Max"
"Dubois, Th√©odore","Dubois, (Fran√ßois-Cl√©ment) Th√©odore",1837,1924,France,,opera.stanford,,"Dubois, (Fran√ßois-Cl√©ment) Th√©odore"
"Dubovsky, ",Dubovsky,1940,,Slovakia,Male,operabase,Dubovsky,
"Duchnowski, ",Duchnowski,1971,,Poland,Male,operabase,Duchnowski,
"Dufresne, Alfred","Dufresne, Alfred",1822,1863,France,,opera.stanford,,"Dufresne, Alfred"
"Dugazon, Gustave","Dugazon [Gourgaud], (Alexandre-Louis-)Gustave",1782,1826,France,,opera.stanford,,"Dugazon [Gourgaud], (Alexandre-Louis-)Gustave"
"Duggan, Joseph Francis","Duggan, Joseph Francis",1817,1900,Ireland,,opera.stanford,,"Duggan, Joseph Francis"
"Duhamel, Antoine","Duhamel, Antoine",1925,,France,,opera.stanford,,"Duhamel, Antoine"
"Duit, ",Duit,1957,,Germany,Male,operabase,Duit,
"Dukas, Paul","Dukas, Paul (Abraham)",1865,1935,France,,opera.stanford,Dukas,"Dukas, Paul (Abraham)"
"Duke, John","Duke, John (Woods)",1899,1984,United Kingdom,,opera.stanford,,"Duke, John (Woods)"
"Duke, Vernon","Duke, Vernon [Dukelsky, Vladimir (Alexandrovich)]",1903,1969,Russia,,opera.stanford,,"Duke, Vernon [Dukelsky, Vladimir (Alexandrovich)]"
"Dumitrescu, Gheorghe","Dumitrescu, Gheorghe",1914,,Romania,,opera.stanford,,"Dumitrescu, Gheorghe"
"Dumonchau, Charles-Fran√ßois","Dumonchau, Charles-Fran√ßois",1775,1820,France,,opera.stanford,,"Dumonchau, Charles-Fran√ßois"
"Dunayevsky, Isaak",DunayevskyI,1900,1955,Russia,Male,operabase,DunayevskyI,"Dunayevsky, Isaak (Iosifovich)"
"DunayevskyM, ",DunayevskyM,1945,,Russia,Male,operabase,DunayevskyM,
"Duncan, William Edmondstoune","Duncan, William Edmondstoune",1866,1920,United Kingdom,,opera.stanford,,"Duncan, William Edmondstoune"
"Dunhill, Thomas","Dunhill, Thomas (Frederick)",1877,1946,United Kingdom,,opera.stanford,,"Dunhill, Thomas (Frederick)"
"Duni, Antonio","Duni, Antonio",1700,1766,Italy,,opera.stanford,,"Duni, Antonio"
"Duni, Egidio","Duni [Duny], Egidio (Romualdo) [Egide (Romuald)])",1709,1775,Italy,,opera.stanford,,"Duni [Duny], Egidio (Romualdo) [Egide (Romuald)])"
"Duniecki, Stanislaw","Duniecki, Stanislaw",1839,1870,Ukraine,,opera.stanford,,"Duniecki, Stanislaw"
"Duparc, Henri","Duparc [Fouqyes Duparc], (Marie Eug√®ne) Henri",1848,1933,France,,opera.stanford,,"Duparc [Fouqyes Duparc], (Marie Eug√®ne) Henri"
"Dupin, Paul","Dupin, Paul",1865,1949,France,,opera.stanford,Dupin,"Dupin, Paul"
"Duplessis, Joseph",Duplessis,1922,2011,France,,opera.stanford,,Duplessis
"Duplessis, Lenoir","Duplessis, Lenoir",1754,,France,,opera.stanford,,"Duplessis, Lenoir"
"Dupont, Gabriel Edouard Xavier","Dupont, Gabriel Edouard Xavier",1878,1914,France,,opera.stanford,,"Dupont, Gabriel Edouard Xavier"
"Duport, Jean-Louis",Duport,1749,1819,France,,opera.stanford,,Duport
"Duprato, Jules-Laurent","Duprato, Jules-Laurent",1827,1892,France,,opera.stanford,,"Duprato, Jules-Laurent"
"Duprez, Gilbert","Duprez, Gilbert(-Louis)",1806,1896,France,,opera.stanford,,"Duprez, Gilbert(-Louis)"
"Dupuis, Albert","Dupuis, Albert",1877,1967,Belgium,,opera.stanford,,"Dupuis, Albert"
"Dupuis, Sylvain","Dupuis, Sylvain",1856,1931,Belgium,,opera.stanford,,"Dupuis, Sylvain"
"Dupuy, Jean Baptiste Edouard","Dupuy, Jean Baptiste Edouard",1770,1822,Switzerland,,opera.stanford,,"Dupuy, Jean Baptiste Edouard"
"Duquesnoy, Charles","Duquesnoy [Lanctin], Charles (Fran√ßois Honor√©)",1759,1822,Belgium,,opera.stanford,,"Duquesnoy [Lanctin], Charles (Fran√ßois Honor√©)"
"Dur√°n, Jos√©","Dur√°n, Jos√©",,1791,Spain,,opera.stanford,,"Dur√°n, Jos√©"
"Dur√≥n, Sebastian",Duron,1660,1716,Spain,Male,operabase,Duron,"Dur√≥n, Sebastian"
"Durand, Emile","Durand, Emile",1830,1903,France,,opera.stanford,,"Durand, Emile"
"Durante, Francesco","Durante, Francesco",1684,1755,Italy,,opera.stanford,,"Durante, Francesco"
"Durey, Louis","Durey, Louis (Edmond)",1888,1979,France,,opera.stanford,,"Durey, Louis (Edmond)"
"Durk√≥, Zsolt","Durk√≥, Zsolt",1934,1997,Hungary,,opera.stanford,,"Durk√≥, Zsolt"
"Dusapin, ",Dusapin,1955,,France,Male,operabase,Dusapin,
"Dusik, ",Dusik,1907,1988,Slovakia,Male,operabase,Dusik,
"Dussek, Franz Benedikt","Dussek [Dusik] [Cormundi], Franz Benedikt [Frantisek Josef]",1766,1816,Czechia,,opera.stanford,,"Dussek [Dusik] [Cormundi], Franz Benedikt [Frantisek Josef]"
"Dussek, Jan Ladislav","Dussek [Dusik], Jan Ladislav [Johann Ladislaus; Ludwig]",1760,1812,Czechia,,opera.stanford,,"Dussek [Dusik], Jan Ladislav [Johann Ladislaus; Ludwig]"
"Dutilleux, Henri","Dutilleux, Henri",1916,,France,,opera.stanford,,"Dutilleux, Henri"
"Dutillieu, Pierre","Dutillieu [Dutilleu, Du Tilleul], Pierre",1754,1798,France,,opera.stanford,,"Dutillieu [Dutilleu, Du Tilleul], Pierre"
"Duvernoy, Victor-Alphonse","Duvernoy, Victor-Alphonse",1842,1907,France,,opera.stanford,,"Duvernoy, Victor-Alphonse"
"Duyse, Flor van","Duyse, Flor [Florimond] van",1843,,Belgium,,opera.stanford,,"Duyse, Flor [Florimond] van"
"Dvarionas, Balis","Dvarionas, Balis",1904,1972,Latvia,,opera.stanford,,"Dvarionas, Balis"
"Dvor√°cek, Jir√≠","Dvor√°cek, Jir√≠",1928,,Czechia,,opera.stanford,,"Dvor√°cek, Jir√≠"
"Dvorak, Antonin",DvorakA,1841,1904,Czechia,Male,operabase,DvorakA,"Dvor√°k, Antonin (Leopold)"
"Dzegelyonok, Alexander","Dzegelyonok, Alexander (Mikhaylovich)",1891,1969,Russia,,opera.stanford,,"Dzegelyonok, Alexander (Mikhaylovich)"
"Dzenitis, ",Dzenitis,1978,,Latvia,Male,operabase,Dzenitis,
"Dzerzhinsky, Ivan","Dzerzhinsky, Ivan (Ivanovich)",1909,1978,Russia,,opera.stanford,,"Dzerzhinsky, Ivan (Ivanovich)"
"Easdale, Brian","Easdale, Brian",1909,1995,United Kingdom,,opera.stanford,,"Easdale, Brian"
"Eastwood, Thomas Hugh","Eastwood, Thomas Hugh",1922,,United Kingdom,,opera.stanford,,"Eastwood, Thomas Hugh"
"Eaton, John","Eaton, John (Charles)",1935,,United States,,opera.stanford,,"Eaton, John (Charles)"
"Ebell, Heinrich Carl","Ebell, Heinrich Carl",1775,1824,Germany,,opera.stanford,,"Ebell, Heinrich Carl"
"Eberl, Anton","Eberl, Anton (Franz Josef)",1765,1807,Austria,,opera.stanford,,"Eberl, Anton (Franz Josef)"
"Eberlin, Johann Ernst","Eberlin [Eberle], Johann Ernst",1702,1762,Austria,,opera.stanford,,"Eberlin [Eberle], Johann Ernst"
"Ebers, Carl Friedrich","Ebers, Carl Friedrich",1770,1836,Germany,,opera.stanford,,"Ebers, Carl Friedrich"
"Eberwein, Carl","Eberwein, (Franz) Carl (Adalbert)",1786,1868,Germany,,opera.stanford,,"Eberwein, (Franz) Carl (Adalbert)"
"Eberwein, Traugott","Eberwein, Traugott (Maximilian)",1775,1831,Germany,,opera.stanford,,"Eberwein, Traugott (Maximilian)"
"Eccles, John","Eccles, John",1668,1735,United Kingdom,,opera.stanford,,"Eccles, John"
"Eckert, Karl","Eckert, Karl (Anton Florian)",1820,1879,Germany,,opera.stanford,,"Eckert, Karl (Anton Florian)"
"Eckert, Rinde","Eckert, Rinde",1951,,United States,,opera.stanford,,"Eckert, Rinde"
"Edelmann, Jean-Fr√©d√©ric","Edelmann, Jean-Fr√©d√©ric [Johann Friedrich]",1749,1794,Austria,,opera.stanford,,"Edelmann, Jean-Fr√©d√©ric [Johann Friedrich]"
"Eder, Helmut","Eder, Helmut",1916,2005,Austria,,opera.stanford,,"Eder, Helmut"
"Edwards, Julian","Edwards, Julian",1855,1910,United Kingdom,,opera.stanford,,"Edwards, Julian"
"Eeden, Jean-Baptiste van den","Eeden, Jean-Baptiste van den",1842,1917,Belgium,,opera.stanford,,"Eeden, Jean-Baptiste van den"
"Effinger, Cecil","Effinger, Cecil",1914,1990,United States,,opera.stanford,,"Effinger, Cecil"
"Eggen, Arne","Eggen, Arne",1881,1955,Norway,,opera.stanford,,"Eggen, Arne"
"Eggert, ",Eggert,1965,,Germany,Male,operabase,Eggert,
"Egk, ",Egk,1901,1983,Germany,Male,operabase,Egk,"Egk [Mayer], Werner"
"Ehrenberg, Carl","Ehrenberg, Carl (Emil Theodor)",1878,1962,Germany,,opera.stanford,Ehrenberg,"Ehrenberg, Carl (Emil Theodor)"
"Ehrenfellner, ",Ehrenfellner,1975,,Austria,Male,operabase,Ehrenfellner,
"Ehrlich, Abel","Ehrlich, Abel",1915,,Germany,,opera.stanford,,"Ehrlich, Abel"
"Eichberg, Julius","Eichberg, Julius",1824,1893,Germany,,opera.stanford,Eichberg,"Eichberg, Julius"
"Eichborn, Hermann","Eichborn, Hermann",1847,1918,Poland,,opera.stanford,,"Eichborn, Hermann"
"Eichmann, ",Eichmann,1966,,Germany,Male,operabase,Eichmann,
"Einem, Gottfried von","Einem, Gottfried von",1918,1996,Switzerland,,opera.stanford,Einem,"Einem, Gottfried von"
"Eiriksdottir, ",Eiriksdottir,1951,,Iceland,Female,operabase,Eiriksdottir,
"Eisemann, ",Eisemann,1898,1966,Hungary,Male,operabase,Eisemann,
"Eisler, Hanns","Eisler, Hanns [Johannes]",1898,1962,Germany,,opera.stanford,,"Eisler, Hanns [Johannes]"
"Eisler, Paul","Eisler, Paul",1875,1951,Austria,,opera.stanford,,"Eisler, Paul"
"Eklund, Hans","Eklund, Hans",1927,,Sweden,,opera.stanford,,"Eklund, Hans"
"El-Dabh, Halim","El-Dabh, Halim (Abdul Messieh)",1921,,Egypt,,opera.stanford,,"El-Dabh, Halim (Abdul Messieh)"
"Eler, Andr√©-Fr√©d√©ric","Eler, Andr√©-Fr√©d√©ric",1764,1821,France,,opera.stanford,,"Eler, Andr√©-Fr√©d√©ric"
"Elgar, Edward",Elgar0,1857,1934,United Kingdom,Male,operabase,Elgar,"Elgar,"
"Eliasson, Anders","Eliasson, Anders",1947,,Sweden,,opera.stanford,,"Eliasson, Anders"
"Elizalde, Fred","Elizalde, Fred [Federico]",1908,,Philippines,,opera.stanford,,"Elizalde, Fred [Federico]"
"Elkus, Jonathan","Elkus, Jonathan (Britton)",1931,,United States,,opera.stanford,Elkus,"Elkus, Jonathan (Britton)"
"Ellberg, Ernst","Ellberg, Ernst (Henrik)",1868,1948,Sweden,,opera.stanford,,"Ellberg, Ernst (Henrik)"
"Ellerton, John Lodge","Ellerton, John Lodge",1801,1873,United Kingdom,,opera.stanford,,"Ellerton, John Lodge"
"Elling, Catharinus","Elling, Catharinus",1858,1942,Norway,,opera.stanford,,"Elling, Catharinus"
"Ellington, ",Ellington ,1899,1974,United States,Male,operabase,Ellington,"Ellington, [Edward Kennedy]"
"Elmore, Robert Hall","Elmore, Robert Hall",1913,1985,United States,,opera.stanford,,"Elmore, Robert Hall"
"Elsner, J√≥zef Antoni Franciszek","Elsner, J√≥zef Antoni Franciszek [Joseph Anton Franciskus, J√≥zef Ksawery, Joseph Xaver]",1769,1854,Poland,,opera.stanford,,"Elsner, J√≥zef Antoni Franciszek [Joseph Anton Franciskus, J√≥zef Ksawery, Joseph Xaver]"
"Elston, Arnold","Elston, Arnold",1907,1971,United States,,opera.stanford,,"Elston, Arnold"
"Elwart, Antoine-√âlie","Elwart, Antoine(-Aimable [Amable])-√âlie",1808,1877,France,,opera.stanford,,"Elwart, Antoine(-Aimable [Amable])-√âlie"
"Emmanuel, Maurice","Emmanuel, (Marie Fran√ßois) Maurice",1862,1938,Ukraine,,opera.stanford,,"Emmanuel, (Marie Fran√ßois) Maurice"
"Emmert, Adam Joseph","Emmert, Adam Joseph",1765,1812,Austria,,opera.stanford,,"Emmert, Adam Joseph"
"Emmert, Johann Joseph","Emmert, Johann Joseph",1732,1809,Germany,,opera.stanford,,"Emmert, Johann Joseph"
"Enckhausen, Heinrich Friedrich","Enckhausen, Heinrich Friedrich",1799,1885,Germany,,opera.stanford,,"Enckhausen, Heinrich Friedrich"
"Enescu, ",Enescu,1881,1955,Romania,Male,operabase,Enescu,"Enescu [Enesco], George[s]"
"Engel, David Hermann","Engel, David Hermann",1816,1877,Germany,,opera.stanford,,"Engel, David Hermann"
"Engel, Joel","Engel, Joel",1868,1927,Ukraine,,opera.stanford,,"Engel, Joel"
"Engel, Lehman","Engel, (A.) Lehman",1910,,United States,,opera.stanford,,"Engel, (A.) Lehman"
"Engelmann, Hans Ulrich","Engelmann, Hans Ulrich",1921,,Germany,,opera.stanford,,"Engelmann, Hans Ulrich"
"Enna, August","Enna, August (Emil)",1859,1939,Denmark,,opera.stanford,,"Enna, August (Emil)"
"Eotvos, ",Eotvos,1944,,Hungary,Male,operabase,Eotvos,
"Erb, Marie Joseph","Erb, Marie Joseph",1858,1944,France,,opera.stanford,,"Erb, Marie Joseph"
"Erba, Dionigi","Erba, Dionigi",1692,1730,Italy,,opera.stanford,,"Erba, Dionigi"
"Erbse, Heimo","Erbse, Heimo",1924,,Germany,,opera.stanford,,"Erbse, Heimo"
"Erkel, Elek","Erkel, Elek",1843,,Hungary,,opera.stanford,Erkel,"Erkel, Elek"
"Erkel, Ferenc","Erkel, Ferenc [Franz]",1810,1893,Hungary,,opera.stanford,,"Erkel, Ferenc [Franz]"
"Erkel, Gyula","Erkel, Gyula",1842,,Hungary,,opera.stanford,,"Erkel, Gyula"
"Erkel, L√°szl√≥","Erkel, L√°szl√≥",1844,,Hungary,,opera.stanford,,"Erkel, L√°szl√≥"
"Erkel, S√°ndor","Erkel, S√°ndor",1846,,Hungary,,opera.stanford,,"Erkel, S√°ndor"
"Erlanger, Camille","Erlanger, Camille",1863,1919,France,,opera.stanford,,"Erlanger, Camille"
"Erlanger, Frédéric Alfred d'","Erlanger,",1868,1943,France,,opera.stanford,,"Erlanger,"
"Erlebach, Philipp Heinrich","Erlebach, Philipp Heinrich",1657,1714,Germany,,opera.stanford,,"Erlebach, Philipp Heinrich"
"Ermatinger, Erhart","Ermatinger, Erhart",1900,1966,Switzerland,,opera.stanford,,"Ermatinger, Erhart"
"Ernesaks, Gustav","Ernesaks, Gustav (Gustavovich)",1908,1993,Estonia,,opera.stanford,,"Ernesaks, Gustav (Gustavovich)"
"Errichelli, Pasquale","Errichelli [Erichelli, Enrichelli], Pasquale",1730,1775,Italy,,opera.stanford,,"Errichelli [Erichelli, Enrichelli], Pasquale"
"Escaich, ",Escaich,1975,,France,Male,operabase,Escaich,
"Escobar, Luis Antonio","Escobar, Luis Antonio",1925,,Colombia,,opera.stanford,,"Escobar, Luis Antonio"
