,Work,Theatre,City,country,date
882,Pagliacci,Walgett Showgrounds,Walgett,NSW,2004-04-12 00:00:00
883,Pagliacci,Back O'Bourke Exhibition Centre,Bourke,NSW,2004-04-10 00:00:00
884,Pagliacci,Bathurst Memorial Entertainment Centre,Bathurst,NSW,2004-04-07 00:00:00
885,Requiem,Federation Concert Hall,Hobart,TAS,2004-04-07 00:00:00
886,Pagliacci,Dubbo Civic Centre,Dubbo,NSW,2004-04-04 00:00:00
887,La Boheme,Milton Theatre,Milton,NSW,2004-04-03 00:00:00
888,The Pearlfishers,State Theatre,Melbourne,VIC,2004-04-03 00:00:00
889,Pagliacci,The Crossing Theatre,Narrabri,NSW,2004-04-02 00:00:00
890,Pagliacci,Quirindi High School Hall,Quirindi,NSW,2004-03-31 00:00:00
891,Pagliacci,St Ives Showground,St Ives,NSW,2004-03-26 00:00:00
892,La Cenerentola ,His Majesty's Theatre,Perth,WA,2004-03-25 00:00:00
893,Pagliacci,Carysfield Park,Bass Hill,NSW,2004-03-24 00:00:00
894,Pagliacci,Miranda Park,Miranda,NSW,2004-03-22 00:00:00
895,Pagliacci,Wagga Wagga Civic Theatre,Wagga Wagga,NSW,2004-03-20 00:00:00
896,La Boheme,Nowra School of Arts,Nowra,NSW,2004-03-20 00:00:00
897,Pagliacci,Aboriginal Keeping Place,Eden,NSW,2004-03-18 00:00:00
898,Pagliacci,Albury Convention and Performing Arts Centre,Albury,NSW,2004-03-14 00:00:00
899,Madama Butterfly,Her Majesty's Theatre,Melbourne,VIC,2004-03-13 00:00:00
900,Pagliacci,Cowra Japanese Gardens,Cowra,NSW,2004-03-13 00:00:00
901,Candide,The Opera Studio,Netley,SA,2004-03-12 00:00:00
902,The Cunning Little Vixen,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-03-10 00:00:00
903,Polly  The Opera,No Leizz,Adelaide,SA,2004-03-05 00:00:00
904,Bryn Terfel,Festival Theatre,Adelaide,SA,2004-02-29 00:00:00
905,Undertow,The Opera Studio,Netley,SA,2004-02-27 00:00:00
906,Verdi Requiem,Concert Hall (Sydney Opera House),Sydney,NSW,2004-02-25 00:00:00
907,Le Concert Francais ,The Performance Space,Redfern,NSW,2004-02-15 00:00:00
908,Bryn Terfel,Concert Hall,South Bank,QLD,2004-02-14 00:00:00
909,The Audience and Other Psychopaths,The Performance Space,Redfern,NSW,2004-02-10 00:00:00
910,Bryn Terfel,Concert Hall (Sydney Opera House),Sydney,NSW,2004-02-08 00:00:00
911,Batavia,His Majesty's Theatre,Perth,WA,2004-02-07 00:00:00
912,The Pearlfishers,Domain,Sydney,NSW,2004-01-31 00:00:00
913,Der Fliegende Hollander / The Flying Dutchman,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-01-23 00:00:00
914,Dr Miracle / Gallantry ,The Opera Studio,Netley,SA,2004-01-17 00:00:00
915,Disgrace,Riverside Theatres,Parramatta,NSW,2004-01-17 00:00:00
916,Phobia,Lennox Theatre,Parramatta,NSW,2004-01-15 00:00:00
917,La Traviata,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-01-14 00:00:00
918,The Magic Flute,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-01-02 00:00:00
919,La Boheme,Araluen Arts Centre,Alice Springs,NT,2004
920,Cinderella,Theatre Royal,Hobart,TAS,2004
921,Amahl  and The Night Visitors ,Charles Darwin University Theatre,Casuarina,NT,2003-12-12 00:00:00
922,Semele,City Recital Hall,Sydney,NSW,2003-12-04 00:00:00
923,The Fairy Queen,City Recital Hall,Sydney,NSW,2003-12-03 00:00:00
924,Cirkus Inferno,Playhouse (Sydney Opera House),Sydney,NSW,2003-12-02 00:00:00
925,La Cenerentola (Cinderella),State Theatre,Melbourne,VIC,2003-11-27 00:00:00
926,Troppo Amore,Darlinghurst Theatre,Darlinghurst,NSW,2003-11-25 00:00:00
927,Salome,State Theatre,Melbourne,VIC,2003-11-21 00:00:00
928,"Love, Death, Music and Plants",Mueller Hall Herbarium Botanical Gardens,South Yarra,VIC,2003-11-18 00:00:00
929,Tosca,State Theatre,Melbourne,VIC,2003-11-15 00:00:00
930,I Pagliacci and Il Tabarro,Comedy Theatre,Melbourne,VIC,2003-11-15 00:00:00
931,Mignon,Rockdale Town Hall,Rockdale,NSW,2003-11-15 00:00:00
932,The Magic Flute,Athenaeum Theatre,Melbourne,VIC,2003-11-06 00:00:00
933,The Threepenny Opera,Belvoir Street Theatre,Surry Hills,NSW,2003-11-06 00:00:00
934,The Magic Flute of Bora Dugic,Concert Hall (Sydney Opera House),Sydney,NSW,2003-11-04 00:00:00
935,Carmen,Montreal Community Theatre,Tumut,NSW,2003-10-29 00:00:00
936,The Abduction from the Seraglio,His Majesty's Theatre,Perth,WA,2003-10-28 00:00:00
937,Cosmonaut,VCA Dance Studio 1,Southbank,VIC,2003-10-19 00:00:00
938,Akhnaten,Merlyn Theatre,Southbank,VIC,2003-10-15 00:00:00
939,Walkabout,Chunky Move Studios,Southbank,VIC,2003-10-11 00:00:00
940,Carmen,Brolga Theatre,Maryborough,QLD,2003-10-05 00:00:00
941,Annual Opera Gala,Federation Concert Hall,Hobart,TAS,2003-10-04 00:00:00
942,A Midsummer Night's Dream,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-10-01 00:00:00
943,The Legend of the White Snake,Canberra Theatre,Canberra,ACT,2003-09-30 00:00:00
944,Semele,Conservatorium Theatre,South Bank,QLD,2003-09-14 00:00:00
945,Lulu,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-09-09 00:00:00
946,La Boheme,Gladstone Entertainment Centre,Gladstone,QLD,2003-09-06 00:00:00
947,La Boheme,PCYC Memorial Park,Gladstone,QLD,2003-09-06 00:00:00
948,La Boheme,Karnak Playhouse,Mossman,QLD,2003-09-04 00:00:00
949,Cantata,The Street Theatre,Acton,ACT,2003-09-04 00:00:00
950,La Boheme,Cairns Civic Theatre,Cairns,QLD,2003-09-02 00:00:00
951,The Legend of White Snake,Seymour Centre,Chippendale,NSW,2003-09-01 00:00:00
952,The Magic Flute,SBW Independent Theatre,Darlinghurst,NSW,2003-08-30 00:00:00
953,La Boheme,Townsville Civic Theatre,South Townsville,QLD,2003-08-29 00:00:00
954,Eugene Onegin,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-08-28 00:00:00
955,The Beggar's Opera,St Philip's Church,O'Connor,ACT,2003-08-28 00:00:00
956,The Pearl Fishers,Athenaeum Theatre,Melbourne,VIC,2003-08-28 00:00:00
957,La Boheme,Mount Isa Civic Centre,Mount Isa,QLD,2003-08-26 00:00:00
958,La Boheme,Pilbeam Theatre,Rockhampton,QLD,2003-08-23 00:00:00
959,The Child and the Magic Spells / The Impressario,ANU Arts Centre,Acton,ACT,2003-08-22 00:00:00
960,La Boheme,Morayfield Park Leisure Centre,Morayfield,QLD,2003-08-21 00:00:00
961,La Boheme,Empire Church Theatre,Toowoomba,QLD,2003-08-19 00:00:00
962,Music for Pleasure,The War Memorial Town Hall,Cottesloe,WA,2003-08-17 00:00:00
963,La Boheme,Grafton High School,Grafton,NSW,2003-08-16 00:00:00
964,Tosca,Clocktower Centre,Moonee Ponds,VIC,2003-08-15 00:00:00
965,La Boheme,Lazenby Hall,Armidale,NSW,2003-08-14 00:00:00
966,The Pearl Fishers,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-08-13 00:00:00
967,La Boheme,Port Macquarie Panthers,Port Macquarie,NSW,2003-08-12 00:00:00
968,Dead Man Walking,Festival Theatre,Adelaide,SA,2003-08-07 00:00:00
969,La Boheme,Civic Theatre,Newcastle,NSW,2003-08-07 00:00:00
970,La Boheme,Dubbo Civic Centre,Dubbo,NSW,2003-08-05 00:00:00
971,Otello,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-08-02 00:00:00
972,The Threepenny Opera,Laurieton School of Arts,Laurieton,NSW,2003-08-02 00:00:00
973,La Boheme,Orange Civic Theatre,Orange,NSW,2003-08-02 00:00:00
974,The Threepenny Opera,Westport High School,Port Macquarie,NSW,2003-08-01 00:00:00
975,La Boheme,Bathurst Memorial Entertainment Centre,Bathurst,NSW,2003-07-31 00:00:00
976,The White Cat,BlackBox ,Melbourne,VIC,2003-07-31 00:00:00
977,La Boheme,Illawarra Performing Arts Centre,Wollongong,NSW,2003-07-29 00:00:00
978,La Boheme,Riverside Theatres,Parramatta,NSW,2003-07-25 00:00:00
979,La Boheme,Wagga Wagga Civic Theatre,Wagga Wagga,NSW,2003-07-23 00:00:00
980,Salome,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-07-21 00:00:00
981,La Boheme,Albury Convention and Performing Arts Centre,Albury,NSW,2003-07-19 00:00:00
982,Baroque Masterworks,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-07-16 00:00:00
983,Madama Butterfly,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-07-10 00:00:00
984,Comedy of Death,BlackBox ,Melbourne,VIC,2003-07-07 00:00:00
985,Die Meistersingers von Nurnberg (The Mastersingers of Nuremberg),Capitol Theatre,Haymarket,NSW,2003-07-02 00:00:00
986,The Threepenny Opera,Actors College of Theatre and Television,Sydney,NSW,2003-06-30 00:00:00
987,Il Signor Bruschino / La Scala Di Seta,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-06-27 00:00:00
988,The Threepenny Opera,Peninsula Performance Centre,Woy Woy,NSW,2003-06-27 00:00:00
989,Candide,The Opera Studio,Netley,SA,2003-06-26 00:00:00
