,name,uri,composer
166,Between Two Worlds (The Dybbuk),https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=103,Shulamit  Ran
167,Bilby's Doll,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=507,Carlisle    Floyd
168,Billie and Zelda,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=58,Tina Davidson
169,Billy Blythe,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1716,
170,Billy Blythe,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1428,Bonnie  Montgomery 
171,Birthday of the Infanta,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1383,Ron  Nelson
172,Black River,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=508,Conrad  Susa
173,Black Water,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=117,John Duffy
174,Black Widow,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=509,Thomas   Pasatieri
175,Black Wings,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=78,William Harper
176,Blizzard Voices,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=706,Paul   Moravec
177,Blood on the Dining-Room Floor,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=262,Jonathan Sheffer
178,Blue Monday (135th St),https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1404,George   Gershwin
179,Blue Mountain,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=850,Justin Dello Joio
180,Blue Opera,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=510,Nancy Binns Reed
181,Blue Steel,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=961,William  Grant Still
182,Blue Viola,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1704,Peter Hilliard
183,Bobby,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1682,Chandler Carter
184,Bok Choy Variations-A Tale from the Red Dust,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=511,Evan   Chen
185,Bombarzo,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1159,Alberto   Ginastera
186,Bon Appetit!!,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=513,Lee     Hoiby
187,Bonfire of the Vanities,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1711,Stefania De Kenessey
188,Bonhoeffer,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=118,Ann K.  Gebuhr
189,Borgia Infami,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=111,Harold  Blumenfeld
190,BOUNCE the Basketball Opera,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1742,Roven Glen
191,Bound,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1617,Huang Ruo
192,"Brave Jack, Opera for Young Audiences",https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=325,Emory Waters
193,Breakfast Waltzes,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=120,Harold Blumenfeld
194,Breaking,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1579,Michael Gilbertson
195,Breaking the Waves,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1712,Missy Mazzoli
196,Brief Candle,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=851,William  Mayer
197,Brief Encounter,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=750,André      Previn
198,Brooklyn Babylon,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1743,Darcy J. Argue
199,Bukowski — Larger than Life…In Song!,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=744,Persis Parshall Vehar
200,Buoso's Ghost,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=38,Michael Ching
201,Buried Alive,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1603,Jeff Myers
202,Burning Bright,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=515,Frank  Lewin
203,Buwalsky — A Road Opera,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=698,Mel Marvin
204,La Belle et la Bête,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1140,Philip   Glass
205,The Balcony,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1236,Robert  DiDomenica
206,The Bald Soprano,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1274,Martin  Kalmanoff
207,The Ballad of Baby Doe,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=696,Douglas      Moore
208,The Bandit Queen,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=350,Shirish Korde
209,The Barber of New York,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=918,Ashley Vernon
210,The Bell Witch of Tennessee,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=381,Joan Crowell
211,The Betrothal of Becky Brown,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=919,Seymour Barab
212,The Big Bonanza,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=376,Monica T.  Houghton
213,The Bird's Christmas Carol,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=920,Virginia Hagemann
214,The Black Monk,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=100,Wendy  Kesselman
215,The Black Swan,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=216,Thomas Whitman
216,The Blue Hotel,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=247,Brian Clarence Hulse
217,The Bonesetter's Daughter,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=749,Stewart   Wallace
218,The Book Collector,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1707,Stella Sung
219,The Books of Daniel,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=31,Richard L. Rose
220,The Boor,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=390,Myron Fink
221,The Boor,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=514,Dominick  Argento
222,The Boor,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=956,Donald Grantham
223,The Box,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=921,Charles Eakin
224,The Boy from Deerfield — A One Act Chamber Opera,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=119,Martin Halpern
225,The Boy Who Grew Too Fast,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1299,Gian Carlo   Menotti
226,The Breath of Life,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=356,Jefferson Todd Frazier
227,The Bremen Town Musicians,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1126,Dominick  Argento
228,The Bridge of San Luis Rey,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=409,Paula  Kimper
229,The Brothers,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1197,George  Antheil
230,The Brothers Grimm,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=285,Dean Burry
231,The Brute,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=922,Lawrence Moss
232,A Chekhov Trilogy,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1371,Richard     Wargo
233,A Childhood Miracle,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=836,Ned  Rorem
234,A Christmas Carol,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=837,Virginia Hagemann
235,A Christmas Carol,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=838,Gregory  Sandow
236,A Christmas Carol,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=686,Thea   Musgrave
237,A Circle of Love,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=306,Alan Stringer
238,Caliban Dreams,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1456,Clark Suprynowicz
239,Call Me Ishmael,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=465,Gary Goldschneider
240,Call the Children Home,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=421,Mildred Kayden
241,Calvary,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=852,Thomas  Pasatieri
242,Candide,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=810,Leonard    Bernstein
243,Captain Jinks of the Horse Marines,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=517,Jack     Beeson
244,Carbon Copy Building,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1204,Michael   Gordon  David Lang
245,"Caroline, or Change",https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=183,Jeanine Tesori
246,Carry Nation,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=518,Douglas  Moore
247,Casanova's Homecoming,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=519,Dominick      Argento
248,Casino Paradise,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=853,William  Bolcom
249,Cask of Amontillado,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1231,Stewart  Copeland
250,Cassandra,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=332,Ian  McAndrew
251,CAT: The Opera-Musical,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1389,Kitty Brazelton
252,Cecilia,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=121,Charles Chaynes
253,Central Park (Three One-Act Operas),https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=18,Michael   Torke Deborah Drattel
